Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,586.778,289.653,0,177.9,0,0,NA,NA,NA,NA,NA
2,1,2,585.459,289.653,0,185.9,1.319,1.319,NA,1.319,NA,180,NA
3,1,3,585.459,289.653,0,185.9,1.319,1.319,NA,0,NA,0,-180
4,1,4,585.459,288.774,0,191.6,2.198,1.585,NA,0.879,NA,-90,-90
5,1,5,585.459,288.774,0,189.6,2.198,1.585,NA,0,NA,0,90
6,1,6,584.141,288.334,0,188.6,3.588,2.948,NA,1.39,NA,-161.565,-161.565
7,1,7,582.822,287.895,0,185.2,4.978,4.329,NA,1.39,NA,-161.565,0
8,1,8,581.064,287.455,0,179,6.79,6.122,NA,1.812,NA,-165.964,-4.399
9,1,9,581.504,290.532,0,145.2,9.898,5.347,NA,3.108,NA,81.87,-112.166
10,1,10,581.064,291.411,0,152.6,10.881,5.978,NA,0.983,NA,116.565,34.695
11,1,11,581.064,292.29,0,141.7,11.76,6.293,NA,0.879,NA,90,-26.565
12,1,12,580.185,293.609,0,156,13.344,7.689,NA,1.585,NA,123.69,33.69
13,1,13,580.332,292.876,0,169.9,14.091,7.207,NA,0.747,NA,-78.69,157.62
14,1,14,577.401,292.583,0,180.4,17.036,9.824,NA,2.945,NA,-174.289,-95.599
15,1,15,575.936,291.997,0,188.5,18.614,11.092,NA,1.578,NA,-158.199,16.091
16,1,16,572.42,293.169,0,189.6,22.321,14.782,NA,3.706,NA,161.565,-40.236
17,1,17,570.662,292.876,0,183.5,24.103,16.435,NA,1.782,NA,-170.538,27.897
18,1,18,567.146,294.341,0,170.6,27.912,20.185,NA,3.809,NA,157.38,-32.082
19,1,19,562.75,294.048,0,152.5,32.318,24.427,NA,4.405,NA,-176.186,26.434
20,1,20,558.355,291.704,0,161.9,37.299,28.497,NA,4.981,NA,-151.928,24.258
21,1,21,553.373,287.602,0,168.4,43.752,33.468,NA,6.453,NA,-140.528,11.4
22,1,22,548.978,287.016,0,168.8,48.186,37.892,NA,4.434,NA,-172.405,-31.878
23,1,23,545.169,288.188,0,125.4,52.172,41.635,NA,3.986,NA,162.897,-24.697
24,1,24,534.913,290.532,0,154.3,62.692,51.872,NA,10.52,NA,167.125,4.228
25,1,25,528.173,291.118,0,203.6,69.457,58.623,NA,6.765,NA,175.03,7.905
26,1,26,522.313,292.29,0,192.9,75.434,64.519,NA,5.977,NA,168.69,-6.34
27,1,27,515.28,294.341,0,199.2,82.759,71.651,NA,7.326,NA,163.74,-4.95
28,1,28,511.764,294.341,0,139.7,86.275,75.16,NA,3.516,NA,180,16.26
29,1,29,505.318,294.048,0,165.1,92.729,81.579,NA,6.453,NA,-177.397,2.603
30,2,1,627.508,294.341,0,177.8,0,0,NA,NA,NA,NA,NA
31,2,2,626.043,293.169,0,188.2,1.876,1.876,NA,1.876,NA,-141.34,NA
32,2,3,626.043,293.755,0,188.2,2.462,1.578,NA,0.586,NA,90,-128.66
33,2,4,626.043,293.755,0,188.2,2.462,1.578,NA,0,NA,0,-90
34,2,5,626.043,293.755,0,188.2,2.462,1.578,NA,0,NA,0,0
35,2,6,626.043,293.755,0,188.2,2.462,1.578,NA,0,NA,0,0
36,2,7,626.043,293.755,0,188.2,2.462,1.578,NA,0,NA,0,0
