Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,634.492,346.456,0,30.7,0,0,NA,NA,NA,NA,NA
2,1,2,633.984,346.456,0,32.3,0.508,0.508,NA,0.508,NA,180,NA
3,1,3,633.476,346.456,0,32.3,1.016,1.016,NA,0.508,NA,180,0
4,1,4,632.46,345.948,0,32.1,2.152,2.095,NA,1.136,NA,-153.435,26.565
5,1,5,632.46,345.948,0,32.5,2.152,2.095,NA,0,NA,0,153.435
6,1,6,628.904,345.44,0,34.3,5.744,5.68,NA,3.592,NA,-171.87,-171.87
7,1,7,630.428,345.44,0,31.3,7.268,4.189,NA,1.524,NA,0,171.87
8,1,8,627.38,345.948,0,33.5,10.358,7.13,NA,3.09,NA,170.538,170.538
9,1,9,626.364,345.948,0,35.7,11.374,8.144,NA,1.016,NA,180,9.462
10,1,10,624.332,345.948,0,45.3,13.406,10.173,NA,2.032,NA,180,0
11,1,11,625.348,347.98,0,34.7,15.678,9.27,NA,2.272,NA,63.435,-116.565
12,1,12,623.824,348.488,0,35.5,17.284,10.86,NA,1.606,NA,161.565,98.13
13,1,13,620.776,351.028,0,38.1,21.252,14.458,NA,3.968,NA,140.194,-21.371
14,1,14,620.776,351.028,0,33.5,21.252,14.458,NA,0,NA,0,-140.194
15,1,15,619.252,351.028,0,32.1,22.776,15.911,NA,1.524,NA,180,180
16,1,16,616.712,351.028,0,32.3,25.316,18.358,NA,2.54,NA,180,0
17,1,17,614.68,351.028,0,32.3,27.348,20.333,NA,2.032,NA,180,0
18,1,18,613.156,351.028,0,32.5,28.872,21.82,NA,1.524,NA,180,0
19,1,19,611.632,351.028,0,32.5,30.396,23.313,NA,1.524,NA,180,0
20,1,20,609.6,351.028,0,31.3,32.428,25.308,NA,2.032,NA,180,0
21,1,21,606.552,351.028,0,33.5,35.476,28.312,NA,3.048,NA,180,0
22,1,22,602.996,350.52,0,26.4,39.068,31.757,NA,3.592,NA,-171.87,8.13
23,1,23,597.408,349.504,0,25.6,44.748,37.209,NA,5.68,NA,-169.695,2.175
24,1,24,589.788,348.996,0,28.8,52.385,44.776,NA,7.637,NA,-176.186,-6.491
25,1,25,582.168,347.98,0,42.5,60.072,52.346,NA,7.687,NA,-172.405,3.781
26,1,26,577.088,351.536,0,35.7,66.273,57.628,NA,6.201,NA,145.008,-42.587
27,1,27,569.468,351.536,0,35.8,73.893,65.222,NA,7.62,NA,180,34.992
28,1,28,564.388,354.076,0,37.9,79.573,70.517,NA,5.68,NA,153.435,-26.565
29,1,29,556.768,353.568,0,35.8,87.209,78.049,NA,7.637,NA,-176.186,30.379
30,1,30,548.132,353.568,0,24.1,95.845,86.652,NA,8.636,NA,180,-3.814
31,2,1,677.164,353.568,0,32.1,0,0,NA,NA,NA,NA,NA
32,2,2,676.656,353.568,0,32.1,0.508,0.508,NA,0.508,NA,180,NA
33,2,3,676.656,353.568,0,32.1,0.508,0.508,NA,0,NA,0,-180
34,2,4,676.148,353.568,0,31.1,1.016,1.016,NA,0.508,NA,180,180
35,2,5,676.148,353.568,0,29.8,1.016,1.016,NA,0,NA,0,-180
36,2,6,675.64,353.568,0,29.8,1.524,1.524,NA,0.508,NA,180,180
37,2,7,675.64,353.568,0,29.8,1.524,1.524,NA,0,NA,0,-180
38,2,8,675.64,353.568,0,29.8,1.524,1.524,NA,0,NA,0,0
39,2,9,674.116,353.568,0,29.8,3.048,3.048,NA,1.524,NA,180,180
40,2,10,673.608,353.568,0,29.8,3.556,3.556,NA,0.508,NA,180,0
41,2,11,672.084,354.076,0,29,5.162,5.105,NA,1.606,NA,161.565,-18.435
42,2,12,671.576,354.076,0,29,5.67,5.611,NA,0.508,NA,180,18.435
43,2,13,671.068,354.584,0,29,6.389,6.18,NA,0.718,NA,135,-45
44,2,14,669.544,354.076,0,31.1,7.995,7.637,NA,1.606,NA,-161.565,63.435
45,2,15,668.02,354.076,0,30.7,9.519,9.158,NA,1.524,NA,180,-18.435
46,2,16,665.988,354.076,0,32.3,11.551,11.188,NA,2.032,NA,180,0
47,2,17,663.448,354.076,0,32.1,14.091,13.725,NA,2.54,NA,180,0
48,2,18,659.384,354.076,0,31.1,18.155,17.787,NA,4.064,NA,180,0
49,2,19,654.812,354.076,0,31.1,22.727,22.358,NA,4.572,NA,180,0
50,2,20,649.224,353.06,0,28.7,28.407,27.945,NA,5.68,NA,-169.695,10.305
51,2,21,645.668,352.552,0,27.5,31.999,31.512,NA,3.592,NA,-171.87,-2.175
52,2,22,643.636,352.552,0,27.5,34.031,33.543,NA,2.032,NA,180,-8.13
53,2,23,640.588,352.552,0,27.7,37.079,36.59,NA,3.048,NA,180,0
54,2,24,637.032,352.552,0,27.7,40.635,40.145,NA,3.556,NA,180,0
55,2,25,631.952,353.06,0,27.8,45.74,45.215,NA,5.105,NA,174.289,-5.711
56,2,26,627.888,354.076,0,23.9,49.929,49.279,NA,4.189,NA,165.964,-8.326
57,2,27,624.332,355.6,0,31.1,53.798,52.871,NA,3.869,NA,156.801,-9.162
58,2,28,620.776,356.108,0,28.6,57.39,56.445,NA,3.592,NA,171.87,15.068
59,2,29,618.744,356.616,0,25.3,59.485,58.499,NA,2.095,NA,165.964,-5.906
60,2,30,612.648,357.632,0,25.5,65.665,64.644,NA,6.18,NA,170.538,4.574
61,3,1,653.288,290.576,0,119.4,0,0,NA,NA,NA,NA,NA
62,3,2,653.288,290.068,0,121.5,0.508,0.508,NA,0.508,NA,-90,NA
63,3,3,654.304,290.068,0,88.9,1.524,1.136,NA,1.016,NA,0,90
64,3,4,654.304,290.068,0,106.5,1.524,1.136,NA,0,NA,0,0
65,3,5,654.304,290.068,0,112.4,1.524,1.136,NA,0,NA,0,0
66,3,6,654.304,290.068,0,144,1.524,1.136,NA,0,NA,0,0
67,3,7,654.304,290.068,0,132,1.524,1.136,NA,0,NA,0,0
68,3,8,652.272,290.068,0,216,3.556,1.136,NA,2.032,NA,180,180
69,3,9,651.256,290.576,0,236.4,4.692,2.032,NA,1.136,NA,153.435,-26.565
70,3,10,650.24,290.576,0,208.8,5.708,3.048,NA,1.016,NA,180,26.565
71,3,11,648.716,290.576,0,169.4,7.232,4.572,NA,1.524,NA,180,0
72,3,12,647.192,291.592,0,178.4,9.064,6.18,NA,1.832,NA,146.31,-33.69
73,3,13,645.16,292.608,0,176.6,11.335,8.378,NA,2.272,NA,153.435,7.125
74,3,14,643.128,292.608,0,157.7,13.367,10.361,NA,2.032,NA,180,26.565
75,3,15,639.064,293.116,0,179.5,17.463,14.449,NA,4.096,NA,172.875,-7.125
76,3,16,635.508,293.116,0,180,21.019,17.961,NA,3.556,NA,180,7.125
77,3,17,633.984,292.608,0,161,22.625,19.411,NA,1.606,NA,-161.565,18.435
78,3,18,629.412,292.608,0,179.5,27.197,23.962,NA,4.572,NA,180,-18.435
79,3,19,626.364,293.116,0,183.6,30.287,27.044,NA,3.09,NA,170.538,-9.462
80,3,20,623.316,292.608,0,183.1,33.378,30.041,NA,3.09,NA,-170.538,18.925
81,3,21,621.792,291.592,0,188.1,35.209,31.512,NA,1.832,NA,-146.31,24.228
82,3,22,619.76,291.084,0,164.5,37.304,33.532,NA,2.095,NA,-165.964,-19.654
83,3,23,616.204,292.1,0,184.3,41.002,37.115,NA,3.698,NA,164.055,-29.982
84,3,24,612.648,292.608,0,191.1,44.594,40.691,NA,3.592,NA,171.87,7.815
85,3,25,611.632,295.148,0,127.5,47.33,41.906,NA,2.736,NA,111.801,-60.068
86,3,26,608.584,296.672,0,143.7,50.738,45.118,NA,3.408,NA,153.435,41.634
87,3,27,602.996,298.196,0,157.8,56.53,50.866,NA,5.792,NA,164.745,11.31
88,3,28,599.44,298.196,0,113.4,60.086,54.384,NA,3.556,NA,180,15.255
89,3,29,593.852,297.688,0,14.8,65.697,59.86,NA,5.611,NA,-174.806,5.194
90,3,30,583.184,295.656,0,219.8,76.556,70.288,NA,10.86,NA,-169.216,5.59
