Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,724.833,337.833,0,95.6,0,0,NA,NA,NA,NA,NA
2,1,2,731.5,336.5,0,204,6.799,6.799,NA,6.799,NA,-11.31,NA
3,1,3,737.5,336.5,0,152.4,12.799,12.737,NA,6,NA,0,11.31
4,1,4,738.833,337.833,0,189.7,14.684,14,NA,1.886,NA,45,45
5,1,5,743.5,337.167,0,194.4,19.398,18.679,NA,4.714,NA,-8.13,-53.13
6,1,6,748.833,336.5,0,177.1,24.773,24.037,NA,5.375,NA,-7.125,1.005
7,1,7,755.5,336.5,0,179.1,31.44,30.696,NA,6.667,NA,0,7.125
8,1,8,762.167,337.167,0,147.2,38.14,37.339,NA,6.7,NA,5.711,5.711
9,1,9,767.5,339.167,0,110.5,43.836,42.687,NA,5.696,NA,20.556,14.845
10,1,10,770.167,334.5,0,175.5,49.211,45.456,NA,5.375,NA,-60.255,-80.811
11,1,11,774.833,337.167,0,188.2,54.585,50.004,NA,5.375,NA,29.745,90
12,1,12,780.833,337.167,0,155.8,60.585,56.004,NA,6,NA,0,-29.745
13,1,13,789.5,334.5,0,154.9,69.653,64.753,NA,9.068,NA,-17.103,-17.103
14,1,14,797.5,332.5,0,116.6,77.899,72.862,NA,8.246,NA,-14.036,3.066
15,1,15,806.167,332.5,0,150.3,86.566,81.508,NA,8.667,NA,0,14.036
16,1,16,814.833,332.5,0,140,95.233,90.158,NA,8.667,NA,0,0
17,1,17,826.833,331.833,0,142,107.251,102.176,NA,12.019,NA,-3.18,-3.18
18,1,18,834.167,331.833,0,144.7,114.584,109.498,NA,7.333,NA,0,3.18
19,1,19,840.833,334.5,0,157.1,121.765,116.048,NA,7.18,NA,21.801,21.801
20,1,20,846.167,335.833,0,145.7,127.262,121.35,NA,5.497,NA,14.036,-7.765
21,1,21,854.167,335.167,0,181.5,135.29,129.361,NA,8.028,NA,-4.764,-18.8
22,2,1,671.833,336.5,0,178.4,0,0,NA,NA,NA,NA,NA
23,2,2,673.167,338.5,0,138.7,2.404,2.404,NA,2.404,NA,56.31,NA
24,2,3,673.167,336.5,0,189.7,4.404,1.333,NA,2,NA,-90,-146.31
25,2,4,677.167,338.5,0,156.9,8.876,5.696,NA,4.472,NA,26.565,116.565
26,2,5,678.5,339.167,0,149.1,10.367,7.18,NA,1.491,NA,26.565,0
27,2,6,683.167,340.5,0,157,15.22,12.019,NA,4.853,NA,15.945,-10.62
28,2,7,690.5,339.167,0,136.9,22.674,18.856,NA,7.454,NA,-10.305,-26.25
29,2,8,699.833,337.833,0,126.9,32.102,28.032,NA,9.428,NA,-8.13,2.175
30,2,9,703.167,339.167,0,145.6,35.692,31.447,NA,3.59,NA,21.801,29.932
31,2,10,712.5,336.5,0,130.1,45.399,40.667,NA,9.707,NA,-15.945,-37.747
32,2,11,723.833,333.167,0,161.7,57.212,52.107,NA,11.813,NA,-16.39,-0.444
33,2,12,731.167,333.167,0,165.1,64.545,59.427,NA,7.333,NA,0,16.39
34,2,13,741.833,332.5,0,156.2,75.233,70.114,NA,10.687,NA,-3.576,-3.576
35,2,14,747.833,331.167,0,166.4,81.379,76.187,NA,6.146,NA,-12.529,-8.952
36,2,15,757.833,331.833,0,140.4,91.401,86.127,NA,10.022,NA,3.814,16.343
37,2,16,764.5,332.5,0,166.5,98.101,92.753,NA,6.7,NA,5.711,1.897
38,2,17,774.5,335.833,0,184.1,108.642,102.669,NA,10.541,NA,18.435,12.724
39,2,18,785.167,338.5,0,181.5,119.637,113.351,NA,10.995,NA,14.036,-4.399
40,2,19,791.833,341.833,0,186.1,127.091,120.118,NA,7.454,NA,26.565,12.529
41,2,20,803.167,345.833,0,189.5,139.109,131.665,NA,12.019,NA,19.44,-7.125
42,2,21,817.833,346.5,0,190.5,153.791,146.342,NA,14.682,NA,2.603,-16.837
43,3,1,701.167,278.5,0,156.4,0,0,NA,NA,NA,NA,NA
44,3,2,701.833,281.167,0,167.5,2.749,2.749,NA,2.749,NA,75.964,NA
45,3,3,703.833,285.833,0,148.4,7.826,7.803,NA,5.077,NA,66.801,-9.162
46,3,4,707.833,287.167,0,145.4,12.042,10.934,NA,4.216,NA,18.435,-48.366
47,3,5,714.5,286.5,0,133.6,18.742,15.549,NA,6.7,NA,-5.711,-24.146
48,3,6,722.5,285.167,0,113.4,26.853,22.351,NA,8.11,NA,-9.462,-3.752
49,3,7,731.833,282.5,0,54.1,36.559,30.926,NA,9.707,NA,-15.945,-6.483
50,3,8,742.5,279.833,0,136.8,47.554,41.355,NA,10.995,NA,-14.036,1.909
51,3,9,752.5,278.5,0,109.1,57.643,51.333,NA,10.088,NA,-7.595,6.442
52,3,10,764.5,275.167,0,122.8,70.097,63.421,NA,12.454,NA,-15.524,-7.929
53,3,11,771.833,271.167,0,166.9,78.45,71.046,NA,8.353,NA,-28.61,-13.086
54,3,12,779.167,268.5,0,165.8,86.254,78.638,NA,7.803,NA,-19.983,8.627
55,3,13,784.5,266.5,0,113.8,91.95,84.193,NA,5.696,NA,-20.556,-0.573
56,3,14,794.5,265.833,0,107.6,101.972,94.189,NA,10.022,NA,-3.814,16.742
57,3,15,799.833,265.167,0,134.7,107.347,99.563,NA,5.375,NA,-7.125,-3.311
58,3,16,805.167,266.5,0,14.7,112.844,104.69,NA,5.497,NA,14.036,21.161
59,3,17,811.167,267.833,0,18.4,118.99,110.516,NA,6.146,NA,12.529,-1.507
60,3,18,818.5,271.833,0,18.1,127.344,117.523,NA,8.353,NA,28.61,16.082
61,3,19,824.5,271.833,0,72,133.344,123.513,NA,6,NA,0,-28.61
62,3,20,833.833,274.5,0,178.7,143.051,132.727,NA,9.707,NA,15.945,15.945
63,3,21,841.167,276.5,0,204.9,150.652,140.014,NA,7.601,NA,15.255,-0.69
