Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,584.754,289.547,0,172,0,0,NA,NA,NA,NA,NA
2,1,2,584.754,289.547,0,172,0,0,NA,0,NA,0,NA
3,1,3,584.754,289.547,0,155.7,0,0,NA,0,NA,0,0
4,1,4,583.883,289.547,0,155.8,0.871,0.871,NA,0.871,NA,180,180
5,1,5,582.142,286.064,0,162.7,4.765,4.354,NA,3.894,NA,-116.565,63.435
6,1,6,577.352,284.322,0,170,9.862,9.06,NA,5.096,NA,-160.017,-43.452
7,1,7,576.046,283.016,0,160.6,11.709,10.885,NA,1.847,NA,-135,25.017
8,1,8,571.692,284.322,0,129.1,16.255,14.068,NA,4.546,NA,163.301,-61.699
9,1,9,570.821,285.193,0,137.5,17.486,14.598,NA,1.232,NA,135,-28.301
10,1,10,567.338,287.805,0,88.4,21.84,17.503,NA,4.354,NA,143.13,8.13
11,1,11,562.548,293.901,0,114.3,29.592,22.629,NA,7.752,NA,128.157,-14.973
12,1,12,560.371,293.901,0,123.3,31.77,24.769,NA,2.177,NA,180,51.843
13,1,13,559.065,293.901,0,176.7,33.076,26.055,NA,1.306,NA,180,0
14,1,14,553.84,292.595,0,163,38.461,31.064,NA,5.386,NA,-165.964,14.036
15,1,15,549.486,292.595,0,178,42.816,35.4,NA,4.354,NA,180,-14.036
16,1,16,546.438,288.676,0,193.2,47.78,38.326,NA,4.964,NA,-127.875,52.125
17,1,17,541.649,288.676,0,196.9,52.569,43.114,NA,4.789,NA,180,-52.125
18,1,18,537.73,288.676,0,193.2,56.488,47.032,NA,3.919,NA,180,0
19,1,19,533.811,288.676,0,192.1,60.407,50.95,NA,3.919,NA,180,0
20,1,20,532.07,288.676,0,186.4,62.148,52.692,NA,1.742,NA,180,0
21,1,21,526.409,288.676,0,184.8,67.809,58.351,NA,5.66,NA,180,0
22,1,22,521.62,288.241,0,167.6,72.618,63.148,NA,4.809,NA,-174.806,5.194
23,1,23,515.089,284.322,0,162.6,80.235,69.861,NA,7.617,NA,-149.036,25.769
24,1,24,506.38,283.016,0,170.9,89.04,78.645,NA,8.806,NA,-171.469,-22.433
25,1,25,498.979,279.097,0,181.5,97.415,86.41,NA,8.375,NA,-152.103,19.367
26,1,26,493.754,279.097,0,184.1,102.64,91.598,NA,5.225,NA,180,-27.897
27,1,27,485.481,282.145,0,165.5,111.457,99.549,NA,8.816,NA,159.775,-20.225
28,1,28,471.983,285.193,0,170,125.294,112.855,NA,13.838,NA,167.276,7.501
29,1,29,468.064,286.934,0,156.2,129.582,116.719,NA,4.288,NA,156.038,-11.238
30,1,30,462.84,289.547,0,170.7,135.424,121.914,NA,5.842,NA,153.435,-2.603
31,1,31,455.002,289.982,0,193,143.274,129.753,NA,7.849,NA,176.82,23.385
32,1,32,449.342,290.418,0,195.6,148.951,135.415,NA,5.677,NA,175.601,-1.219
33,1,33,447.6,290.418,0,166.3,150.692,137.157,NA,1.742,NA,180,4.399
34,1,34,445.859,289.111,0,153.9,152.869,138.896,NA,2.177,NA,-143.13,36.87
35,1,35,443.246,287.37,0,185,156.009,141.525,NA,3.14,NA,-146.31,-3.18
36,2,1,624.376,291.724,0,199.9,0,0,NA,NA,NA,NA,NA
37,2,2,622.635,291.724,0,190.6,1.742,1.742,NA,1.742,NA,180,NA
38,2,3,621.764,291.724,0,198.6,2.612,2.612,NA,0.871,NA,180,0
39,2,4,620.458,291.724,0,189.6,3.919,3.919,NA,1.306,NA,180,0
40,2,5,619.151,291.724,0,154.7,5.225,5.225,NA,1.306,NA,180,0
41,2,6,616.539,289.982,0,159,8.365,8.029,NA,3.14,NA,-146.31,33.69
42,2,7,615.668,289.547,0,149,9.338,8.976,NA,0.974,NA,-153.435,-7.125
43,2,8,614.797,289.547,0,145,10.209,9.823,NA,0.871,NA,180,-26.565
44,2,9,613.491,289.547,0,160.4,11.515,11.101,NA,1.306,NA,180,0
45,2,10,613.491,291.289,0,192.1,13.257,10.894,NA,1.742,NA,90,-90
46,2,11,613.056,296.078,0,175.6,18.066,12.129,NA,4.809,NA,95.194,5.194
47,2,12,612.62,296.949,0,159.5,19.04,12.865,NA,0.974,NA,116.565,21.371
48,2,13,612.185,296.949,0,167.7,19.475,13.264,NA,0.435,NA,180,63.435
49,2,14,611.314,297.384,0,191.7,20.449,14.236,NA,0.974,NA,153.435,-26.565
50,2,15,610.008,298.69,0,191.7,22.296,15.968,NA,1.847,NA,135,-18.435
51,2,16,606.96,299.561,0,190.7,25.466,19.099,NA,3.17,NA,164.055,29.055
52,2,17,601.3,299.997,0,190.5,31.143,24.515,NA,5.677,NA,175.601,11.547
53,2,18,592.591,299.561,0,152.2,39.862,32.737,NA,8.719,NA,-177.138,7.261
54,2,19,589.979,298.255,0,203.5,42.783,35.012,NA,2.921,NA,-153.435,23.703
55,2,20,579.965,294.336,0,181.5,53.537,44.488,NA,10.754,NA,-158.629,-5.194
56,2,21,572.563,289.547,0,192.4,62.353,51.859,NA,8.816,NA,-147.095,11.535
57,2,22,560.807,286.064,0,133.7,74.614,63.821,NA,12.261,NA,-163.496,-16.401
58,2,23,553.405,285.193,0,140,82.067,71.272,NA,7.453,NA,-173.29,-9.795
59,2,24,545.132,284.322,0,149,90.386,79.589,NA,8.318,NA,-173.991,-0.701
60,2,25,540.342,284.322,0,161.7,95.175,84.359,NA,4.789,NA,180,-6.009
61,2,26,529.457,285.628,0,177.8,106.139,95.115,NA,10.963,NA,173.157,-6.843
62,2,27,520.749,289.111,0,196.4,115.518,103.66,NA,9.379,NA,158.199,-14.959
63,2,28,512.476,295.207,0,162,125.794,111.954,NA,10.276,NA,143.616,-14.583
64,2,29,502.897,296.513,0,167.6,135.461,121.573,NA,9.668,NA,172.235,28.619
65,2,30,499.414,296.513,0,175.8,138.944,125.054,NA,3.483,NA,180,7.765
66,2,31,494.624,296.949,0,151.3,143.754,129.857,NA,4.809,NA,174.806,-5.194
67,2,32,490.27,296.513,0,141.1,148.129,134.191,NA,4.376,NA,-174.289,10.905
68,2,33,487.658,295.643,0,165.3,150.883,136.775,NA,2.754,NA,-161.565,12.724
69,2,34,483.739,294.772,0,167.6,154.898,140.67,NA,4.014,NA,-167.471,-5.906
70,3,1,607.831,244.7,0,77.4,0,0,NA,NA,NA,NA,NA
71,3,2,607.831,242.523,0,74,2.177,2.177,NA,2.177,NA,-90,NA
72,3,3,606.524,241.216,0,88.2,4.024,3.72,NA,1.847,NA,-135,-45
73,3,4,606.524,239.039,0,149.6,6.201,5.809,NA,2.177,NA,-90,45
74,3,5,603.912,237.298,0,129,9.341,8.375,NA,3.14,NA,-146.31,-56.31
75,3,6,603.912,236.862,0,77.5,9.777,8.762,NA,0.435,NA,-90,56.31
76,3,7,602.606,236.862,0,64.9,11.083,9.419,NA,1.306,NA,180,-90
77,3,8,601.3,237.298,0,51.9,12.46,9.871,NA,1.377,NA,161.565,-18.435
78,3,9,599.993,239.039,0,43.7,14.637,9.668,NA,2.177,NA,126.87,-34.695
79,3,10,598.252,241.652,0,27.8,17.776,10.052,NA,3.14,NA,123.69,-3.18
80,3,11,596.945,244.264,0,119.4,20.697,10.894,NA,2.921,NA,116.565,-7.125
81,3,12,595.639,247.312,0,167.6,24.013,12.468,NA,3.316,NA,113.199,-3.366
82,3,13,592.156,249.925,0,78.7,28.367,16.523,NA,4.354,NA,143.13,29.932
83,3,14,588.237,251.231,0,106.8,32.498,20.653,NA,4.131,NA,161.565,18.435
84,3,15,583.448,252.537,0,46.3,37.462,25.612,NA,4.964,NA,164.745,3.18
85,3,16,578.223,251.231,0,10.5,42.848,30.32,NA,5.386,NA,-165.964,29.291
86,3,17,569.95,247.748,0,86.8,51.824,38.003,NA,8.976,NA,-157.166,8.797
87,3,18,563.854,243.829,0,176.8,59.071,43.985,NA,7.247,NA,-147.265,9.902
88,3,19,555.582,239.475,0,127.6,68.42,52.51,NA,9.349,NA,-152.241,-4.977
89,3,20,549.921,235.556,0,89.4,75.304,58.627,NA,6.884,NA,-145.305,6.937
90,3,21,545.132,232.073,0,94.1,81.226,63.958,NA,5.922,NA,-143.973,1.332
91,3,22,539.907,228.154,0,170.4,87.757,69.91,NA,6.531,NA,-143.13,0.843
92,3,23,534.682,225.106,0,171.7,93.806,75.727,NA,6.049,NA,-149.744,-6.613
93,3,24,530.328,222.929,0,162.6,98.674,80.502,NA,4.868,NA,-153.435,-3.691
94,3,25,524.232,222.929,0,177.4,104.77,86.387,NA,6.096,NA,180,-26.565
95,3,26,519.878,222.929,0,120.8,109.124,90.607,NA,4.354,NA,180,0
96,3,27,514.218,223.365,0,66.1,114.801,96.013,NA,5.677,NA,175.601,-4.399
97,3,28,508.558,223.365,0,173,120.461,101.54,NA,5.66,NA,180,4.399
98,3,29,503.768,226.848,0,57.6,126.384,105.583,NA,5.922,NA,143.973,-36.027
99,3,30,496.801,228.59,0,101.8,133.565,112.192,NA,7.181,NA,165.964,21.991
100,3,31,491.141,230.331,0,99.7,139.487,117.571,NA,5.922,NA,162.897,-3.066
101,3,32,485.481,231.637,0,121,145.296,123.045,NA,5.809,NA,167.005,4.108
102,3,33,479.821,231.637,0,66.9,150.956,128.675,NA,5.66,NA,180,12.995
103,3,34,476.337,231.637,0,12.3,154.439,132.141,NA,3.483,NA,180,0
