Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,678.993,345.948,0,28.5,0,0,NA,NA,NA,NA,NA
2,1,2,678.993,345.948,0,28.5,0,0,NA,0,NA,0,NA
3,1,3,679.341,345.948,0,27.5,0.349,0.349,NA,0.349,NA,0,0
4,1,4,679.341,345.948,0,27.7,0.349,0.349,NA,0,NA,0,0
5,1,5,679.341,345.599,0,25.4,0.697,0.493,NA,0.349,NA,-90,-90
6,1,6,680.039,342.809,0,25,3.573,3.308,NA,2.876,NA,-75.964,14.036
7,1,7,680.039,342.809,0,23.8,3.573,3.308,NA,0,NA,0,75.964
8,1,8,678.993,343.158,0,25.4,4.676,2.79,NA,1.103,NA,161.565,161.565
9,1,9,677.598,344.553,0,27.8,6.649,1.973,NA,1.973,NA,135,-26.565
10,1,10,677.598,349.784,0,23.1,11.88,4.082,NA,5.231,NA,90,-45
11,1,11,677.598,352.574,0,27.9,14.67,6.771,NA,2.79,NA,90,0
12,1,12,683.178,355.364,0,23.1,20.908,10.304,NA,6.238,NA,26.565,-63.435
13,1,13,684.224,355.364,0,29.2,21.954,10.771,NA,1.046,NA,0,-26.565
14,1,14,691.896,353.272,0,14.9,29.907,14.837,NA,7.952,NA,-15.255,-15.255
15,1,15,694.337,352.574,0,24.2,32.446,16.714,NA,2.539,NA,-15.945,-0.69
16,1,16,700.266,349.784,0,25,38.998,21.616,NA,6.552,NA,-25.201,-9.256
17,1,17,704.799,348.389,0,32.6,43.741,25.922,NA,4.743,NA,-17.103,8.098
18,1,18,710.03,346.994,0,33.3,49.155,31.055,NA,5.414,NA,-14.931,2.171
19,1,19,719.446,346.994,0,21.8,58.571,40.467,NA,9.416,NA,0,14.931
20,1,20,727.119,345.251,0,36.1,66.439,48.131,NA,7.868,NA,-12.804,-12.804
21,1,21,735.14,344.553,0,39.2,74.49,56.164,NA,8.051,NA,-4.97,7.835
22,1,22,745.95,344.553,0,28.7,85.301,66.972,NA,10.811,NA,0,4.97
23,1,23,758.156,344.902,0,16,97.512,79.17,NA,12.211,NA,1.637,1.637
24,1,24,771.06,345.599,0,28.5,110.434,92.067,NA,12.922,NA,3.094,1.457
25,1,25,782.568,347.343,0,29.1,122.074,103.585,NA,11.64,NA,8.616,5.522
26,1,26,790.589,348.389,0,24.4,130.163,111.623,NA,8.089,NA,7.431,-1.184
27,1,27,798.61,352.225,0,24.3,139.054,119.782,NA,8.891,NA,25.56,18.129
28,1,28,803.841,352.225,0,21.1,144.285,125.006,NA,5.231,NA,0,-25.56
29,1,29,809.421,353.272,0,27.6,149.962,130.633,NA,5.677,NA,10.62,10.62
30,1,30,812.559,353.969,0,31.4,153.177,133.807,NA,3.215,NA,12.529,1.909
31,1,31,817.674,354.55,0,27.6,158.325,138.948,NA,5.148,NA,6.483,-6.046
32,1,32,819.534,355.015,0,16.1,160.242,140.834,NA,1.917,NA,14.036,7.553
33,1,33,826.044,355.015,0,37.3,166.752,147.33,NA,6.51,NA,0,-14.036
34,1,34,833.484,355.015,0,30.3,174.191,154.757,NA,7.44,NA,0,0
35,1,35,839.528,355.945,0,29.3,180.307,160.847,NA,6.116,NA,8.746,8.746
36,1,36,844.178,356.875,0,28.9,185.049,165.547,NA,4.742,NA,11.31,2.564
