Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,2,559.253,281.089,0,171,0,0,NA,NA,NA,NA,NA
2,1,3,560.298,281.089,0,167.5,1.045,1.045,NA,1.045,NA,0,NA
3,1,4,560.298,281.089,0,174.5,1.045,1.045,NA,0,NA,0,0
4,1,5,561.969,281.089,0,162,2.717,2.717,NA,1.672,NA,0,0
5,1,6,564.268,277.536,0,163.1,6.949,6.147,NA,4.232,NA,-57.095,-57.095
6,1,7,565.104,276.909,0,164.2,7.993,7.191,NA,1.045,NA,-36.87,20.225
7,1,8,567.194,276.7,0,169.9,10.094,9.074,NA,2.1,NA,-5.711,31.159
8,1,9,568.657,276.491,0,153.9,11.572,10.468,NA,1.478,NA,-8.13,-2.42
9,1,10,569.702,276.491,0,166.6,12.616,11.416,NA,1.045,NA,0,8.13
10,1,11,570.12,277.327,0,176,13.551,11.5,NA,0.935,NA,63.435,63.435
11,1,12,570.956,281.298,0,192,17.609,11.705,NA,4.058,NA,78.111,14.676
12,1,13,571.374,284.224,0,162.7,20.564,12.52,NA,2.956,NA,81.87,3.759
13,1,14,571.792,285.478,0,191,21.886,13.285,NA,1.322,NA,71.565,-10.305
14,1,15,572.837,287.777,0,188.6,24.411,15.141,NA,2.525,NA,65.556,-6.009
15,1,16,574.718,289.031,0,184,26.672,17.385,NA,2.261,NA,33.69,-31.866
16,1,17,579.942,288.613,0,183.7,31.913,22.015,NA,5.241,NA,-4.574,-38.264
17,1,18,583.913,288.404,0,173.3,35.89,25.723,NA,3.976,NA,-3.013,1.561
18,1,19,591.228,286.105,0,172.3,43.557,32.366,NA,7.667,NA,-17.447,-14.434
19,1,20,597.706,283.806,0,176.7,50.431,38.55,NA,6.874,NA,-19.537,-2.089
20,1,21,610.455,279.417,0,181.6,63.914,51.229,NA,13.483,NA,-18.997,0.54
21,1,22,620.695,276.7,0,151.5,74.509,61.599,NA,10.595,NA,-14.859,4.138
22,1,23,629.891,276.073,0,147.9,83.726,70.816,NA,9.217,NA,-3.9,10.958
