Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],? [deg],?? [deg]
1,1,1,617.374,329.836,0,23.9,0,0,NA,NA,NA,NA,NA
2,1,2,617.374,329.836,0,23.9,0,0,NA,0,NA,0,NA
3,1,3,618.689,331.589,0,20.8,2.192,2.192,NA,2.192,NA,53.13,53.13
4,1,4,618.251,331.589,0,20.8,2.63,1.96,NA,0.438,NA,180,126.87
5,1,5,618.251,331.589,0,20.8,2.63,1.96,NA,0,NA,0,-180
6,1,6,619.566,331.589,0,20.8,3.945,2.807,NA,1.315,NA,0,0
7,1,7,619.566,331.589,0,20.8,3.945,2.807,NA,0,NA,0,0
8,1,8,619.566,331.589,0,20.8,3.945,2.807,NA,0,NA,0,0
9,1,9,619.566,331.589,0,20.8,3.945,2.807,NA,0,NA,0,0
10,1,10,621.319,331.589,0,20.5,5.698,4.317,NA,1.753,NA,0,0
11,1,11,623.949,329.398,0,22.7,9.122,6.589,NA,3.423,NA,-39.806,-39.806
12,1,12,625.264,329.398,0,21.7,10.437,7.902,NA,1.315,NA,0,39.806
13,1,13,627.894,328.083,0,28.9,13.377,10.665,NA,2.94,NA,-26.565,-26.565
14,1,14,630.086,327.645,0,25.6,15.612,12.899,NA,2.235,NA,-11.31,15.255
15,1,15,634.031,326.33,0,22.1,19.77,17.021,NA,4.158,NA,-18.435,-7.125
16,1,16,637.099,324.138,0,26.7,23.541,20.531,NA,3.771,NA,-35.538,-17.103
17,1,17,640.167,322.823,0,32.4,26.879,23.847,NA,3.338,NA,-23.199,12.339
18,1,18,644.112,326.768,0,15.1,32.458,26.913,NA,5.579,NA,45,68.199
19,1,19,646.742,327.645,0,31,35.23,29.449,NA,2.772,NA,18.435,-26.565
20,1,20,650.248,329.836,0,31,39.365,32.874,NA,4.135,NA,32.005,13.57
21,1,21,652.44,331.589,0,28.5,42.172,35.109,NA,2.807,NA,38.66,6.654
22,1,22,658.138,332.904,0,25.3,48.02,40.879,NA,5.848,NA,12.995,-25.665
23,1,23,662.083,330.274,0,23.4,52.761,44.711,NA,4.741,NA,-33.69,-46.685
24,1,24,673.918,329.836,0,25.3,64.604,56.543,NA,11.843,NA,-2.121,31.569
25,1,25,677.863,329.836,0,20.5,68.548,60.488,NA,3.945,NA,0,2.121
26,1,26,686.191,329.836,0,25.5,76.877,68.816,NA,8.328,NA,0,0
27,1,27,694.957,328.083,0,29.3,85.817,77.603,NA,8.94,NA,-11.31,-11.31
28,1,28,699.34,329.836,0,23.4,90.537,81.966,NA,4.721,NA,21.801,33.111
29,1,29,705.039,329.836,0,20.4,96.236,87.664,NA,5.698,NA,0,-21.801
30,1,30,716.435,328.96,0,32.7,107.666,99.064,NA,11.43,NA,-4.399,-4.399
31,1,31,724.763,326.768,0,9.2,116.277,107.432,NA,8.612,NA,-14.744,-10.345
32,1,32,742.296,318.878,0,28.9,135.503,125.401,NA,19.226,NA,-24.228,-9.484
33,1,33,751.939,316.687,0,47.7,145.392,135.205,NA,9.889,NA,-12.804,11.423
34,1,34,768.595,317.125,0,23.7,162.054,151.754,NA,16.662,NA,1.507,14.312
35,1,35,775.608,319.316,0,19.4,169.402,158.583,NA,7.348,NA,17.354,15.847
36,1,36,781.306,321.07,0,8.4,175.364,164.166,NA,5.962,NA,17.103,-0.251
37,1,37,790.073,323.7,0,22.6,184.516,172.807,NA,9.152,NA,16.699,-0.403
38,1,38,798.839,321.07,0,27.6,193.669,181.676,NA,9.152,NA,-16.699,-33.398
39,1,39,808.044,320.631,0,13.7,202.884,190.891,NA,9.215,NA,-2.726,13.973
40,1,40,815.057,321.07,0,11.6,209.91,197.877,NA,7.027,NA,3.576,6.303
41,1,41,823.166,330.713,0,28.4,222.51,205.793,NA,12.599,NA,49.939,46.363
42,1,42,825.796,332.028,0,14.6,225.45,208.433,NA,2.94,NA,26.565,-23.374
43,1,43,833.028,333.343,0,28.8,232.801,215.682,NA,7.351,NA,10.305,-16.26
44,2,1,664.713,328.74,0,24,0,0,NA,NA,NA,NA,NA
45,2,2,664.713,328.74,0,25,0,0,NA,0,NA,0,NA
46,2,3,664.713,328.74,0,24,0,0,NA,0,NA,0,0
47,2,4,664.713,328.74,0,21.5,0,0,NA,0,NA,0,0
48,2,5,666.028,328.74,0,23.9,1.315,1.315,NA,1.315,NA,0,0
49,2,6,666.028,328.74,0,23.9,1.315,1.315,NA,0,NA,0,0
50,2,7,666.028,328.74,0,23.9,1.315,1.315,NA,0,NA,0,0
51,2,8,666.685,328.74,0,23.3,1.972,1.972,NA,0.657,NA,0,0
52,2,9,666.685,328.74,0,21.9,1.972,1.972,NA,0,NA,0,0
53,2,10,668.658,328.74,0,24.3,3.945,3.945,NA,1.972,NA,0,0
54,2,11,671.288,328.083,0,29.7,6.656,6.608,NA,2.711,NA,-14.036,-14.036
55,2,12,671.945,328.083,0,20.9,7.313,7.262,NA,0.657,NA,0,14.036
56,2,13,677.863,328.083,0,20.5,13.231,13.166,NA,5.917,NA,0,0
57,2,14,681.15,322.166,0,20.7,20,17.703,NA,6.769,NA,-60.945,-60.945
58,2,15,685.752,322.166,0,20.8,24.602,22.043,NA,4.602,NA,0,60.945
59,2,16,693.642,322.166,0,23,32.492,29.667,NA,7.89,NA,0,0
60,2,17,696.93,324.138,0,14.9,36.326,32.544,NA,3.834,NA,30.964,30.964
61,2,18,700.874,329.398,0,23.2,42.9,36.167,NA,6.575,NA,53.13,22.166
62,2,19,706.792,330.713,0,22,48.962,42.125,NA,6.062,NA,12.529,-40.601
63,2,20,708.764,332.028,0,10.6,51.333,44.174,NA,2.371,NA,33.69,21.161
64,2,21,715.997,333.343,0,20.6,58.684,51.49,NA,7.351,NA,10.305,-23.385
65,2,22,721.256,333.343,0,35.7,63.943,56.73,NA,5.26,NA,0,-10.305
66,2,23,729.804,332.685,0,26.7,72.516,65.21,NA,8.572,NA,-4.399,-4.399
67,2,24,735.063,330.713,0,23.8,78.133,70.378,NA,5.618,NA,-20.556,-16.157
68,2,25,742.296,330.713,0,22.1,85.366,77.608,NA,7.232,NA,0,20.556
69,2,26,748.213,331.37,0,23,91.319,83.541,NA,5.954,NA,6.34,6.34
70,2,27,749.528,334,0,24.1,94.26,84.978,NA,2.94,NA,63.435,57.095
71,2,28,753.473,335.315,0,20.5,98.418,89.003,NA,4.158,NA,18.435,-45
72,2,29,759.39,332.028,0,21.9,105.187,94.734,NA,6.769,NA,-29.055,-47.49
73,2,30,762.02,332.028,0,31.3,107.817,97.363,NA,2.63,NA,0,29.055
74,2,31,764.65,331.37,0,18.2,110.528,99.972,NA,2.711,NA,-14.036,-14.036
75,2,32,771.225,330.055,0,18.8,117.233,106.52,NA,6.705,NA,-11.31,2.726
76,2,33,775.17,327.425,0,18.8,121.974,110.465,NA,4.741,NA,-33.69,-22.38
77,2,34,782.402,327.425,0,13.7,129.206,117.696,NA,7.232,NA,0,33.69
