Nr,TID,PID,x [cm],y [cm],t [sec],I [val],Len [cm],D2S [cm],D2R [cm],D2P [cm],v [cm/sec],α [deg],Δα [deg]
1,1,1,667.371,338.943,0,17.3,0,0,NA,NA,NA,NA,NA
2,1,2,668.266,337.153,0,25.4,2.001,2.001,NA,2.001,NA,-63.435,NA
3,1,3,667.371,337.153,0,24.1,2.896,1.79,NA,0.895,NA,180,-116.565
4,1,4,667.371,338.943,0,15.6,4.686,0,NA,1.79,NA,90,-90
5,1,5,668.713,338.943,0,18.8,6.028,1.342,NA,1.342,NA,0,-90
6,1,6,668.713,337.153,0,25.4,7.818,2.237,NA,1.79,NA,-90,-90
7,1,7,667.818,337.601,0,20.8,8.818,1.415,NA,1.001,NA,153.435,-116.565
8,1,8,668.266,337.601,0,20.8,9.266,1.613,NA,0.447,NA,0,-153.435
9,1,9,666.923,338.495,0,17.3,10.879,0.633,NA,1.613,NA,146.31,146.31
10,1,10,668.266,338.048,0,20.8,12.294,1.266,NA,1.415,NA,-18.435,-164.745
11,1,11,666.923,338.495,0,17.3,13.709,0.633,NA,1.415,NA,161.565,180
12,1,12,666.923,340.285,0,13.8,15.499,1.415,NA,1.79,NA,90,-71.565
13,1,13,666.476,340.285,0,13.8,15.946,1.613,NA,0.447,NA,180,90
14,1,14,666.923,340.285,0,13.8,16.394,1.415,NA,0.447,NA,0,-180
15,1,15,668.266,340.285,0,16.2,17.736,1.613,NA,1.342,NA,0,0
16,1,16,667.371,340.733,0,13.8,18.737,1.79,NA,1.001,NA,153.435,153.435
17,1,17,667.371,340.733,0,13.8,18.737,1.79,NA,0,NA,0,-153.435
18,1,18,667.371,339.838,0,17.3,19.632,0.895,NA,0.895,NA,-90,-90
19,1,19,668.713,339.39,0,19.8,21.047,1.415,NA,1.415,NA,-18.435,71.565
20,1,20,667.371,341.18,0,13.8,23.284,2.237,NA,2.237,NA,126.87,145.305
21,1,21,668.713,341.18,0,14.8,24.626,2.609,NA,1.342,NA,0,-126.87
22,1,22,668.713,339.838,0,19.5,25.968,1.613,NA,1.342,NA,-90,-90
23,1,23,670.055,339.39,0,20.8,27.383,2.722,NA,1.415,NA,-18.435,71.565
24,1,24,671.398,339.39,0,23.2,28.726,4.052,NA,1.342,NA,0,18.435
25,1,25,670.95,338.943,0,22.2,29.359,3.58,NA,0.633,NA,-135,-135
26,1,26,671.845,336.706,0,27.8,31.768,5.003,NA,2.41,NA,-68.199,66.801
27,1,27,672.74,336.706,0,32.4,32.663,5.817,NA,0.895,NA,0,68.199
28,1,28,675.872,336.706,0,26.7,35.795,8.791,NA,3.132,NA,0,0
29,1,29,679.899,335.811,0,26.5,39.92,12.914,NA,4.125,NA,-12.529,-12.529
30,1,30,683.926,335.363,0,23.3,43.972,16.938,NA,4.052,NA,-6.34,6.189
31,1,31,683.926,334.021,0,30.1,45.315,17.272,NA,1.342,NA,-90,-83.66
32,1,32,687.953,332.679,0,28.1,49.56,21.515,NA,4.245,NA,-18.435,71.565
33,1,33,691.086,332.231,0,31,52.723,24.646,NA,3.164,NA,-8.13,10.305
34,1,34,693.77,333.574,0,27.9,55.725,26.94,NA,3.002,NA,26.565,34.695
35,1,35,699.587,334.468,0,32.2,61.61,32.526,NA,5.885,NA,8.746,-17.819
36,1,36,703.167,336.258,0,30.8,65.612,35.896,NA,4.002,NA,26.565,17.819
37,1,37,707.194,339.838,0,30.1,71,39.833,NA,5.388,NA,41.634,15.068
38,1,38,711.668,345.207,0,34.5,77.99,44.738,NA,6.989,NA,50.194,8.561
39,1,39,716.143,348.787,0,31.6,83.72,49.755,NA,5.73,NA,38.66,-11.535
40,1,40,721.96,349.682,0,15.9,89.605,55.635,NA,5.885,NA,8.746,-29.914
41,1,41,727.329,348.339,0,20.6,95.14,60.69,NA,5.535,NA,-14.036,-22.782
42,1,42,732.698,348.339,0,2.9,100.509,66,NA,5.369,NA,0,14.036
43,1,43,735.831,345.207,0,27.7,104.939,68.746,NA,4.43,NA,-45,-45
44,2,1,716.59,340.733,0,16.9,0,0,NA,NA,NA,NA,NA
45,2,2,716.59,339.39,0,18.6,1.342,1.342,NA,1.342,NA,-90,NA
46,2,3,717.038,338.943,0,18.6,1.975,1.845,NA,0.633,NA,-45,45
47,2,4,716.59,339.838,0,18.2,2.976,0.895,NA,1.001,NA,116.565,161.565
48,2,5,717.038,339.838,0,18.2,3.423,1.001,NA,0.447,NA,0,-116.565
49,2,6,719.275,340.285,0,10.4,5.705,2.722,NA,2.282,NA,11.31,11.31
50,2,7,716.143,340.285,0,16.9,8.837,0.633,NA,3.132,NA,180,168.69
51,2,8,716.143,338.943,0,20.8,10.179,1.845,NA,1.342,NA,-90,90
52,2,9,717.485,340.733,0,18.2,12.416,0.895,NA,2.237,NA,53.13,143.13
53,2,10,717.038,339.838,0,21.8,13.417,1.001,NA,1.001,NA,-116.565,-169.695
54,2,11,716.59,339.39,0,21.8,14.05,1.342,NA,0.633,NA,-135,-18.435
55,2,12,717.933,340.733,0,20.8,15.948,1.342,NA,1.898,NA,45,180
56,2,13,719.275,340.733,0,9.3,17.29,2.685,NA,1.342,NA,0,-45
57,2,14,717.933,340.285,0,20.8,18.705,1.415,NA,1.415,NA,-161.565,-161.565
58,2,15,717.485,339.39,0,18.2,19.706,1.613,NA,1.001,NA,-116.565,45
59,2,16,717.038,339.838,0,21.8,20.339,1.001,NA,0.633,NA,135,-108.435
60,2,17,717.485,340.733,0,20.8,21.339,0.895,NA,1.001,NA,63.435,-71.565
61,2,18,716.143,341.18,0,18.2,22.754,0.633,NA,1.415,NA,161.565,98.13
62,2,19,716.59,342.075,0,18.2,23.755,1.342,NA,1.001,NA,63.435,-98.13
63,2,20,716.59,342.97,0,19.6,24.65,2.237,NA,0.895,NA,90,26.565
64,2,21,718.827,343.417,0,15.1,26.931,3.495,NA,2.282,NA,11.31,-78.69
65,2,22,717.933,342.97,0,20.6,27.932,2.609,NA,1.001,NA,-153.435,-164.745
66,2,23,718.827,341.628,0,23.1,29.545,2.41,NA,1.613,NA,-56.31,97.125
67,2,24,718.827,342.075,0,21.9,29.992,2.609,NA,0.447,NA,90,146.31
68,2,25,720.617,341.628,0,32.2,31.837,4.125,NA,1.845,NA,-14.036,-104.036
