cm,ms
10.47154439,10
9.602244127,20
8.739012728,30
7.76246199,40
6.245657971,50
6.036706373,60
4.656548765,70
4.468983801,80
3.082560643,90
1.704393792,100
2.07451708,110
1.428861729,120
-0.293288254,130
0.697079026,140
0.643495636,150
-0.601064846,160
-0.45626347,170
-0.107179277,180
1.154624528,190
1.250993172,200
1.151129589,210
1.348484527,220
2.457712618,230
2.897565375,240
3.640435658,250
3.716467291,260
4.297852873,270
5.350436413,280
7.780946608,290
8.662973222,300
9.920029373,310
11.23439922,320
10.96527546,330
12.46554466,340
13.78064317,350
14.69085344,360
15.38079418,370
16.90318235,380
17.88531729,390
19.29764188,400
18.88870099,410
19.45044499,420
20.31833198,430
21.11007493,440
20.94848693,450
21.75088056,460
22.15069811,470
21.45908479,480
21.72883746,490
21.63122518,500
21.74416059,510
21.48632035,520
19.70978428,530
19.87104269,540
18.91728818,550
18.14373545,560
18.28765472,570
17.39033576,580
15.89271025,590
15.63388584,600
14.37558337,610
12.81797014,620
11.51675687,630
9.656978749,640
10.21575865,650
7.740048373,660
7.381772395,670
6.744404133,680
5.175715659,690
