cm,ms
8.657473903,10
7.211943974,20
7.288381322,30
5.347656225,40
4.823800265,50
3.208266915,60
2.921053565,70
2.006510857,80
1.28479811,90
1.2195466,100
1.074260928,110
0.808285009,120
0.749685329,130
-0.240422749,140
0.042503161,150
-0.291712906,160
-0.734772627,170
0.002389555,180
-0.229104149,190
0.267586866,200
0.740773672,210
0.974326771,220
2.213813057,230
2.551046943,240
2.859932529,250
4.152331277,260
5.153528701,270
5.559677633,280
7.665549692,290
7.554794191,300
9.533101227,310
9.261106082,320
9.746998273,330
12.08984993,340
12.22224685,350
13.29288831,360
13.84575688,370
14.95319665,380
15.9363697,390
15.14480692,400
16.62254558,410
16.27754476,420
17.42396729,430
18.19270314,440
17.9461865,450
18.15403087,460
18.94968822,470
18.16437358,480
17.86343511,490
17.74534885,500
17.06354129,510
16.38535863,520
16.49247016,530
16.48465688,540
14.67251682,550
13.96382827,560
13.62816053,570
12.75185072,580
12.81427206,590
11.43719447,600
11.51226326,610
10.38152288,620
9.343813882,630
7.464343693,640
7.550107155,650
7.081609187,660
5.66150799,670
4.677876475,680
0,690
