0,sex,leg length in m,Mass in Kg, vmax in ms^-1?,recorded walking in ms^-1?,Froude number,normal mean maximum pelvic tilt angle,fast mean maximum pelvic tilt angle
1,Female,0.83,60,2.85,1.29,0.453,5.68,5.15
2,Female,0.84,58.25,2.87,1.61,0.56,7.77,8.99
3,Male,0.85,108.86,2.89,,,,
4,Female,0.864,56.7,2.91,1.35,0.464,3.19,4.35
5,Female,0.88,47.627,2.937,1.121,0.382,5.641,7.479
6,Female,0.88,55.3,2.94,1.96,0.667,8.17,9.45
7,Male,0.885,77.11,2.95,1.198,0.406,2.17,6.721
8,Female,0.885,56.69,2.95,1.21,0.4102,8.77,10.65
9,Female,0.9,52.16,2.97,0.932,0.314,5.65,7.08
10,Male,0.91,74.8,2.98,1.58,0.53,5.08,5.01
11,Female,0.91,58.968,2.988,1.667,0.5579,6.85,7.234
12,Female,0.92,43.0913,3,1.54,0.604,3.22,5.392
13,Male,0.925,79.378,3.011,0.829,0.275,4.473,4.38
14,Female,0.93,70.3,3.02,1.21,0.401,5.909,6.7
15,Female,0.93,61.23,3.02,1.23,0.4073,5.772,5.8
16,Male,0.94,64.4,3.04,1.33,0.419,9.1,9.9
17,Female,0.94,53,3.037,1.62,0.533,7.48,7.78
18,Male,0.95,63.504,3.05122926,1.470588235,0.481965827,5.686,6.603
19,Male,0.95,81.6,3.05,1.59,0.52,5.41,8.33
20,Male,0.96,79.38,3.07,1.36,0.44,,
21,Male,0.96,71.67,3.07,1.56,0.509,6.4,6.1
22,Male,0.96,65.8,3.07,1.79,0.583,6.095,6.3
23,Male,0.96,54.4,3.067,1.81,0.59,5.55,6.67
24,Male,0.965,70.3,3.08,1.19,0.386,7.214,8.885
25,Male,0.965,74.8,3.08,1.86,0.51,3.94,5.321
26,Male,0.97,93.5,3.085,1.49,0.48,5.58,5.3
27,Male,0.97,68,3.08,1.63,0.529,10.89,11.66
28,Male,0.976,64.4,3.09,1.34,0.433,6.12,7.73
29,Male,0.98,81.6,3.1,0.8,0.251,10.9,11.4
30,Male,0.98,56.7,3.1,1.1,0.355,9.03,10.5
31,Female,1,65.7,3.13,0.694,0.22,6.187,8.812
32,Male,1,65.77,3.13,0.71,0.2265,6.21,7.601
33,Male,1,74.84,3.13,0.986,0.315,,
