MTrackJ,1.5.1,Data,,,,
Displaying,TRUE,TRUE,,,,
Assembly,1,FF0000,,,,
Cluster,1,FF0000,,,,
Track,1,FF0000,TRUE,,,
Point,1,756,546,1,11,1
Point,2,756,546,1,12,1
Point,3,758,546,1,13,1
Point,4,762,542,1,14,1
Point,5,760,542,1,15,1
Point,6,762,542,1,16,1
Point,7,764,540,1,17,1
Point,8,764,542,1,18,1
Point,9,762,542,1,19,1
Point,10,762,542,1,20,1
Point,11,766.6666667,540.6666667,1,21,1
Point,12,769.3333333,543.3333333,1,22,1
Point,13,772,538,1,23,1
Point,14,776,539.3333333,1,24,1
Point,15,772,542,1,25,1
Point,16,778.6666667,540.6666667,1,26,1
Point,17,778.6666667,540.6666667,1,27,1
Point,18,781.3333333,539.3333333,1,28,1
Point,19,781.3333333,540.6666667,1,29,1
Point,20,781.3333333,539.3333333,1,30,1
Point,21,782.6666667,538,1,31,1
Point,22,784,538,1,32,1
Point,23,780,536.6666667,1,33,1
Point,24,780,539.3333333,1,34,1
Point,25,780,538,1,35,1
Point,26,777.3333333,534,1,36,1
Point,27,776,534,1,37,1
Point,28,777,538,1,38,1
Point,29,776,534,1,39,1
Point,30,771,534,1,40,1
Point,31,773,538,1,41,1
Point,32,767,538,1,42,1
Point,33,767,540,1,43,1
Point,34,769,538,1,44,1
Point,35,767,539,1,45,1
Point,36,771,540,1,46,1
Point,37,768,539,1,47,1
Point,38,765,539,1,48,1
Point,39,767,536,1,49,1
Point,40,770,538,1,50,1
Point,41,774,537,1,51,1
Point,42,777,537,1,52,1
Point,43,780,540,1,53,1
Point,44,784,542,1,54,1
Point,45,786,543,1,55,1
Point,46,790,544,1,56,1
Point,47,790,546,1,57,1
Point,48,789,548,1,58,1
Point,49,783,544,1,59,1
Point,50,784,545,1,60,1
Point,51,789,544,1,61,1
Point,52,786,541,1,62,1
Point,53,785,541,1,63,1
Point,54,777,536,1,64,1
Point,55,773,538,1,65,1
Point,56,770,533,1,66,1
