Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
1	1	1	756	546	0	154	0	0	NA	NA	NA	NA	NA
2	1	2	756	546	0	152.3	0	0	NA	0	NA	0	NA
3	1	3	758	546	0	167.6	2	2	NA	2	NA	0	0
4	1	4	762	542	0	32.7	7.657	7.211	NA	5.657	NA	-45	-45
5	1	5	760	542	0	66.4	9.657	5.657	NA	2	NA	180	-135
6	1	6	762	542	0	49.1	11.657	7.211	NA	2	NA	0	-180
7	1	7	764	540	0	40.7	14.485	10	NA	2.828	NA	-45	-45
8	1	8	764	542	0	87.5	16.485	8.944	NA	2	NA	90	135
9	1	9	762	542	0	160.6	18.485	7.211	NA	2	NA	180	90
10	1	10	762	542	0	156.3	18.485	7.211	NA	0	NA	0	-180
11	1	11	766.667	540.667	0	27.7	23.339	11.926	NA	4.853	NA	-15.945	-15.945
12	1	12	769.333	543.333	0	149.9	27.11	13.597	NA	3.771	NA	45	60.945
13	1	13	772	538	0	25.5	33.073	17.889	NA	5.963	NA	-63.435	-108.435
14	1	14	776	539.333	0	164.4	37.289	21.082	NA	4.216	NA	18.435	81.87
15	1	15	772	542	0	34.9	42.097	16.492	NA	4.807	NA	146.31	127.875
16	1	16	778.667	540.667	0	151.4	48.895	23.286	NA	6.799	NA	-11.31	-157.62
17	1	17	778.667	540.667	0	110.9	48.895	23.286	NA	0	NA	0	11.31
18	1	18	781.333	539.333	0	111.7	51.877	26.196	NA	2.981	NA	-26.565	-26.565
19	1	19	781.333	540.667	0	85	53.21	25.889	NA	1.333	NA	90	116.565
20	1	20	781.333	539.333	0	35.2	54.543	26.196	NA	1.333	NA	-90	-180
21	1	21	782.667	538	0	41.7	56.429	27.841	NA	1.886	NA	-45	45
22	1	22	784	538	0	107	57.762	29.12	NA	1.333	NA	0	45
23	1	23	780	536.667	0	36.2	61.979	25.751	NA	4.216	NA	-161.565	-161.565
24	1	24	780	539.333	0	27.7	64.645	24.909	NA	2.667	NA	90	-108.435
25	1	25	780	538	0	37.6	65.979	25.298	NA	1.333	NA	-90	-180
26	1	26	777.333	534	0	36.2	70.786	24.477	NA	4.807	NA	-123.69	-33.69
27	1	27	776	534	0	35	72.119	23.324	NA	1.333	NA	180	-56.31
28	1	28	777	538	0	38.2	76.242	22.472	NA	4.123	NA	75.964	-104.036
29	1	29	776	534	0	130.2	80.366	23.324	NA	4.123	NA	-104.036	-180
30	1	30	771	534	0	116.2	85.366	19.209	NA	5	NA	180	-75.964
31	1	31	773	538	0	18.3	89.838	18.788	NA	4.472	NA	63.435	-116.565
32	1	32	767	538	0	31.6	95.838	13.601	NA	6	NA	180	116.565
33	1	33	767	540	0	32.7	97.838	12.53	NA	2	NA	90	-90
34	1	34	769	538	0	31.2	100.666	15.264	NA	2.828	NA	-45	-135
35	1	35	767	539	0	36.2	102.902	13.038	NA	2.236	NA	153.435	-161.565
36	1	36	771	540	0	71.2	107.025	16.155	NA	4.123	NA	14.036	-139.399
37	1	37	768	539	0	40.9	110.188	13.892	NA	3.162	NA	-161.565	-175.601
38	1	38	765	539	0	24.8	113.188	11.402	NA	3	NA	180	-18.435
39	1	39	767	536	0	73.6	116.793	14.866	NA	3.606	NA	-56.31	123.69
40	1	40	770	538	0	39.7	120.399	16.125	NA	3.606	NA	33.69	90
41	1	41	774	537	0	68.5	124.522	20.125	NA	4.123	NA	-14.036	-47.726
42	1	42	777	537	0	150.2	127.522	22.847	NA	3	NA	0	14.036
43	1	43	780	540	0	66.6	131.764	24.739	NA	4.243	NA	45	45
44	1	44	784	542	0	165.2	136.237	28.284	NA	4.472	NA	26.565	-18.435
45	1	45	786	543	0	143.2	138.473	30.15	NA	2.236	NA	26.565	0
46	1	46	790	544	0	118.7	142.596	34.059	NA	4.123	NA	14.036	-12.529
47	1	47	790	546	0	156	144.596	34	NA	2	NA	90	75.964
48	1	48	789	548	0	25.9	146.832	33.061	NA	2.236	NA	116.565	26.565
49	1	49	783	544	0	24.4	154.043	27.074	NA	7.211	NA	-146.31	97.125
50	1	50	784	545	0	30.3	155.457	28.018	NA	1.414	NA	45	-168.69
51	1	51	789	544	0	28.9	160.556	33.061	NA	5.099	NA	-11.31	-56.31
52	1	52	786	541	0	28.3	164.799	30.414	NA	4.243	NA	-135	-123.69
53	1	53	785	541	0	28.9	165.799	29.428	NA	1	NA	180	-45
54	1	54	777	536	0	60.5	175.233	23.259	NA	9.434	NA	-147.995	32.005
55	1	55	773	538	0	19.9	179.705	18.788	NA	4.472	NA	153.435	-58.57
56	1	56	770	533	0	39.5	185.536	19.105	NA	5.831	NA	-120.964	85.601
57	1	57	767	531	0	60.5	189.141	18.601	NA	3.606	NA	-146.31	-25.346
58	1	58	773	530	0	63.3	195.224	23.345	NA	6.083	NA	-9.462	136.848
59	1	59	767	530	0	31.3	201.224	19.416	NA	6	NA	180	-170.538
60	1	60	768	529	0	31.5	202.638	20.809	NA	1.414	NA	-45	135
61	1	61	767	531	0	32.6	204.874	18.601	NA	2.236	NA	116.565	161.565
62	1	62	766	530	0	32.6	206.289	18.868	NA	1.414	NA	-135	108.435
63	1	63	769	529	0	33.7	209.451	21.401	NA	3.162	NA	-18.435	116.565
64	1	64	769	531	0	37.1	211.451	19.849	NA	2	NA	90	108.435
65	1	65	772	530	0	31.4	214.613	22.627	NA	3.162	NA	-18.435	-108.435
