Nr	TID	PID	x [pixel]	y [pixel]	t [sec]	I [val]	Len [pixel]	D2S [pixel]	D2R [pixel]	D2P [pixel]	v [pixel/sec]	α [deg]	Δα [deg]
1	1	1	862.347	524.319	0	68.6	0	0	NA	NA	NA	NA	NA
2	1	2	862.347	524.319	0	133.9	0	0	NA	0	NA	0	NA
3	1	3	863.85	524.319	0	147.6	1.502	1.502	NA	1.502	NA	0	0
4	1	4	865.352	522.817	0	70.6	3.627	3.359	NA	2.125	NA	-45	-45
5	1	5	865.352	522.817	0	111.6	3.627	3.359	NA	0	NA	0	45
6	1	6	865.352	522.817	0	151.2	3.627	3.359	NA	0	NA	0	0
7	1	7	865.352	522.817	0	186.2	3.627	3.359	NA	0	NA	0	0
8	1	8	865.352	519.812	0	25.6	6.632	5.417	NA	3.005	NA	-90	-90
9	1	9	865.352	519.812	0	26.6	6.632	5.417	NA	0	NA	0	90
10	1	10	865.352	519.812	0	45.2	6.632	5.417	NA	0	NA	0	0
11	1	11	865.352	513.803	0	159	12.641	10.937	NA	6.009	NA	-90	-90
12	1	12	865.352	516.808	0	30.2	15.646	8.09	NA	3.005	NA	90	180
13	1	13	865.352	516.808	0	53.6	15.646	8.09	NA	0	NA	0	-90
14	1	14	868.357	515.305	0	29.3	19.005	10.834	NA	3.359	NA	-26.565	-26.565
15	1	15	871.362	515.305	0	39.6	22.01	12.748	NA	3.005	NA	0	26.565
16	1	16	869.859	515.305	0	31.5	23.512	11.734	NA	1.502	NA	180	180
17	1	17	869.859	513.803	0	37.3	25.015	12.924	NA	1.502	NA	-90	90
18	1	18	872.864	513.803	0	103.6	28.019	14.872	NA	3.005	NA	0	90
19	1	19	872.864	513.803	0	51.5	28.019	14.872	NA	0	NA	0	0
20	1	20	872.864	513.803	0	38.5	28.019	14.872	NA	0	NA	0	0
21	1	21	874.366	513.803	0	33	29.522	15.97	NA	1.502	NA	0	0
22	1	22	874.366	513.803	0	42	29.522	15.97	NA	0	NA	0	0
23	1	23	875.869	513.803	0	26.8	31.024	17.129	NA	1.502	NA	0	0
24	1	24	875.869	513.803	0	37.4	31.024	17.129	NA	0	NA	0	0
25	1	25	875.869	513.803	0	34.8	31.024	17.129	NA	0	NA	0	0
26	1	26	875.869	513.803	0	34.8	31.024	17.129	NA	0	NA	0	0
27	1	27	875.869	513.803	0	30.2	31.024	17.129	NA	0	NA	0	0
28	1	28	875.869	513.803	0	21.2	31.024	17.129	NA	0	NA	0	0
29	1	29	875.869	516.808	0	33.9	34.029	15.468	NA	3.005	NA	90	90
30	1	30	875.869	516.808	0	37.2	34.029	15.468	NA	0	NA	0	-90
31	1	31	875.869	519.812	0	33.9	37.033	14.253	NA	3.005	NA	90	90
32	1	32	874.366	519.812	0	29.2	38.536	12.836	NA	1.502	NA	180	90
33	1	33	874.366	519.812	0	33.9	38.536	12.836	NA	0	NA	0	-180
34	1	34	874.366	519.812	0	35.2	38.536	12.836	NA	0	NA	0	0
35	1	35	872.864	524.319	0	28.2	43.286	10.516	NA	4.751	NA	108.435	108.435
36	1	36	871.362	524.319	0	23.4	44.789	9.014	NA	1.502	NA	180	71.565
37	1	37	871.362	524.319	0	40.9	44.789	9.014	NA	0	NA	0	-180
38	1	38	868.357	528.826	0	167.9	50.206	7.512	NA	5.417	NA	123.69	123.69
39	1	39	866.854	530.329	0	165.4	52.33	7.512	NA	2.125	NA	135	11.31
40	1	40	866.854	530.329	0	126.9	52.33	7.512	NA	0	NA	0	-135
41	1	41	866.854	530.329	0	54.5	52.33	7.512	NA	0	NA	0	0
42	1	42	866.854	530.329	0	24.6	52.33	7.512	NA	0	NA	0	0
43	1	43	865.352	531.831	0	155	54.455	8.09	NA	2.125	NA	135	135
44	1	44	865.352	531.831	0	84	54.455	8.09	NA	0	NA	0	-135
45	1	45	865.352	534.836	0	164.3	57.46	10.937	NA	3.005	NA	90	90
46	1	46	865.352	533.333	0	36	58.962	9.502	NA	1.502	NA	-90	-180
47	1	47	865.352	533.333	0	27	58.962	9.502	NA	0	NA	0	90
48	1	48	865.352	533.333	0	29.3	58.962	9.502	NA	0	NA	0	0
49	1	49	865.352	533.333	0	30.4	58.962	9.502	NA	0	NA	0	0
50	1	50	866.854	533.333	0	37.5	60.464	10.078	NA	1.502	NA	0	0
51	1	51	866.854	533.333	0	38.5	60.464	10.078	NA	0	NA	0	0
52	1	52	866.854	533.333	0	42.2	60.464	10.078	NA	0	NA	0	0
53	1	53	866.854	533.333	0	37.2	60.464	10.078	NA	0	NA	0	0
54	1	54	869.859	534.836	0	37.3	63.824	12.924	NA	3.359	NA	26.565	26.565
55	1	55	869.859	534.836	0	42	63.824	12.924	NA	0	NA	0	-26.565
56	1	56	872.864	534.836	0	34	66.828	14.872	NA	3.005	NA	0	0
57	1	57	872.864	534.836	0	42.6	66.828	14.872	NA	0	NA	0	0
58	1	58	872.864	534.836	0	42.2	66.828	14.872	NA	0	NA	0	0
59	1	59	872.864	534.836	0	46.6	66.828	14.872	NA	0	NA	0	0
60	1	60	877.371	533.333	0	38.4	71.579	17.52	NA	4.751	NA	-18.435	-18.435
61	1	61	877.371	533.333	0	32.7	71.579	17.52	NA	0	NA	0	18.435
62	1	62	877.371	533.333	0	24.6	71.579	17.52	NA	0	NA	0	0
63	1	63	877.371	533.333	0	40	71.579	17.52	NA	0	NA	0	0
64	1	64	877.371	533.333	0	38	71.579	17.52	NA	0	NA	0	0
65	1	65	875.869	533.333	0	37	73.082	16.25	NA	1.502	NA	180	180
66	1	66	875.869	531.831	0	37.3	74.584	15.468	NA	1.502	NA	-90	90
67	1	67	875.869	531.831	0	36.2	74.584	15.468	NA	0	NA	0	90
68	1	68	875.869	531.831	0	45.5	74.584	15.468	NA	0	NA	0	0
69	1	69	871.362	525.822	0	168.7	82.096	9.138	NA	7.512	NA	-126.87	-126.87
70	1	70	869.859	525.822	0	117.3	83.598	7.66	NA	1.502	NA	180	-53.13
71	1	71	871.362	525.822	0	33.9	85.1	9.138	NA	1.502	NA	0	-180
72	1	72	869.859	525.822	0	43	86.603	7.66	NA	1.502	NA	180	180
73	1	73	866.854	525.822	0	38.6	89.607	4.751	NA	3.005	NA	180	0
74	1	74	866.854	525.822	0	44	89.607	4.751	NA	0	NA	0	-180
75	1	75	863.85	525.822	0	31.4	92.612	2.125	NA	3.005	NA	180	180
76	1	76	863.85	525.822	0	33.5	92.612	2.125	NA	0	NA	0	-180
77	1	77	863.85	525.822	0	44.4	92.612	2.125	NA	0	NA	0	0
78	1	78	863.85	525.822	0	45.3	92.612	2.125	NA	0	NA	0	0
79	1	79	863.85	524.319	0	31	94.114	1.502	NA	1.502	NA	-90	-90
80	1	80	862.347	524.319	0	25.5	95.617	0	NA	1.502	NA	180	-90
81	1	81	860.845	522.817	0	128	97.741	2.125	NA	2.125	NA	-135	45
82	1	82	862.347	522.817	0	35	99.244	1.502	NA	1.502	NA	0	135
83	1	83	862.347	522.817	0	29	99.244	1.502	NA	0	NA	0	0
84	1	84	862.347	522.817	0	66.6	99.244	1.502	NA	0	NA	0	0
85	1	85	865.352	522.817	0	46.7	102.248	3.359	NA	3.005	NA	0	0
86	1	86	865.352	522.817	0	40.7	102.248	3.359	NA	0	NA	0	0
87	1	87	865.352	522.817	0	26.7	102.248	3.359	NA	0	NA	0	0
88	1	88	866.854	522.817	0	50	103.751	4.751	NA	1.502	NA	0	0
89	1	89	868.357	522.817	0	52	105.253	6.194	NA	1.502	NA	0	0
90	1	90	868.357	522.817	0	38	105.253	6.194	NA	0	NA	0	0
91	1	91	868.357	522.817	0	44.2	105.253	6.194	NA	0	NA	0	0
92	1	92	869.859	522.817	0	48.6	106.755	7.66	NA	1.502	NA	0	0
93	1	93	869.859	522.817	0	47.6	106.755	7.66	NA	0	NA	0	0
94	1	94	869.859	522.817	0	88.2	106.755	7.66	NA	0	NA	0	0
95	1	95	868.357	527.324	0	65.5	111.506	6.719	NA	4.751	NA	108.435	108.435
96	1	96	868.357	527.324	0	51.2	111.506	6.719	NA	0	NA	0	-108.435
97	1	97	868.357	530.329	0	39.6	114.511	8.499	NA	3.005	NA	90	90
98	1	98	868.357	533.333	0	61.6	117.516	10.834	NA	3.005	NA	90	0
99	1	99	868.357	533.333	0	46.6	117.516	10.834	NA	0	NA	0	-90
100	1	100	865.352	536.338	0	198.9	121.765	12.389	NA	4.249	NA	135	135
101	1	101	865.352	537.84	0	197	123.267	13.851	NA	1.502	NA	90	-45
102	1	102	865.352	537.84	0	89.8	123.267	13.851	NA	0	NA	0	-90
103	1	103	863.85	537.84	0	54.5	124.77	13.604	NA	1.502	NA	180	180
104	1	104	862.347	537.84	0	57.4	126.272	13.521	NA	1.502	NA	180	0
105	1	105	860.845	537.84	0	55.8	127.774	13.604	NA	1.502	NA	180	0
106	1	106	857.84	537.84	0	127.8	130.779	14.253	NA	3.005	NA	180	0
107	1	107	857.84	537.84	0	64.4	130.779	14.253	NA	0	NA	0	-180
108	1	108	857.84	537.84	0	39.7	130.779	14.253	NA	0	NA	0	0
109	1	109	854.836	537.84	0	65.4	133.784	15.468	NA	3.005	NA	180	180
