ms,pos,steps,strain,g
0,0.000,200,647.00,6.373
2,0.000,200,625.00,6.271
24,0.000,200,398.00,5.223
116,0.000,200,-3189.00,-11.338
207,0.000,200,-12518.00,-54.410
299,0.000,200,-22746.00,-101.632
390,0.000,200,-32719.00,-147.677
482,0.000,200,-42389.00,-192.323
574,0.000,200,-51111.00,-232.592
666,0.000,200,-59064.00,-269.311
757,0.000,200,-65456.00,-298.823
849,0.000,200,-69747.00,-318.634
940,0.000,200,-70696.00,-323.016
1032,0.000,200,-65256.00,-297.899
1123,0.000,200,-53319.00,-242.787
1216,0.000,200,-40752.00,-184.765
1307,0.000,200,-30665.00,-138.194
1399,0.000,200,-21831.00,-97.408
1490,0.000,200,-14342.00,-62.831
1582,0.000,200,-8451.00,-35.633
1673,0.000,200,-3205.00,-11.412
1766,0.000,200,1253.00,9.170
1857,0.000,200,3396.00,19.065
1949,0.000,200,3680.00,20.376
2040,0.000,200,3614.00,20.071
2132,0.000,200,3566.00,19.849
2223,0.000,200,3548.00,19.766
2315,0.000,200,3515.00,19.614
2408,0.000,200,3522.00,19.646
2499,0.000,200,3476.00,19.434
2591,0.000,200,3430.00,19.222
2682,0.000,200,3348.00,18.843
2774,0.000,200,3363.00,18.912
2865,0.000,200,3330.00,18.760
2957,0.000,200,3266.00,18.464
3049,0.000,200,3199.00,18.155
3141,0.000,200,3197.00,18.146
3232,0.000,200,3220.00,18.252
3324,0.000,200,3187.00,18.100
3415,0.000,200,3151.00,17.933
