ms,pos,steps,strain,g
0,0.000,200,182.00,4.226
2,0.000,200,142.00,4.041
50,0.000,200,46.00,3.598
142,0.000,200,-531.00,0.934
233,0.000,200,-1838.00,-5.101
326,0.000,200,-3415.00,-12.382
417,0.000,200,-5001.00,-19.704
509,0.000,200,-6563.00,-26.916
600,0.000,200,-8195.00,-34.451
692,0.000,200,-9805.00,-41.884
783,0.000,200,-11432.00,-49.396
875,0.000,200,-12969.00,-56.492
967,0.000,200,-14521.00,-63.658
1059,0.000,200,-16086.00,-70.883
1150,0.000,200,-17637.00,-78.044
1242,0.000,200,-19184.00,-85.186
1333,0.000,200,-20498.00,-91.253
1425,0.000,200,-21924.00,-97.837
1516,0.000,200,-23132.00,-103.414
1609,0.000,200,-24298.00,-108.798
1700,0.000,200,-25587.00,-114.749
1792,0.000,200,-26914.00,-120.876
1883,0.000,200,-28213.00,-126.873
1975,0.000,200,-29413.00,-132.413
2067,0.000,200,-30808.00,-138.854
2159,0.000,200,-32089.00,-144.768
2251,0.000,200,-33384.00,-150.747
2342,0.000,200,-34648.00,-156.583
2434,0.000,200,-36025.00,-162.941
2525,0.000,200,-37409.00,-169.331
2617,0.000,200,-38601.00,-174.834
2708,0.000,200,-39880.00,-180.739
2801,0.000,200,-41020.00,-186.003
2892,0.000,200,-42203.00,-191.464
2984,0.000,200,-43450.00,-197.222
3075,0.000,200,-44681.00,-202.905
3167,0.000,200,-45870.00,-208.395
3258,0.000,200,-46801.00,-212.693
3350,0.000,200,-47708.00,-216.881
3442,0.000,200,-48581.00,-220.911
3534,0.000,200,-49482.00,-225.071
3625,0.000,200,-50514.00,-229.836
3717,0.000,200,-51680.00,-235.219
3808,0.000,200,-52943.00,-241.051
3900,0.000,200,-54005.00,-245.954
3991,0.000,200,-55191.00,-251.430
4084,0.000,200,-56222.00,-256.190
4175,0.000,200,-57224.00,-260.816
4267,0.000,200,-58155.00,-265.114
4358,0.000,200,-59016.00,-269.089
4450,0.000,200,-60031.00,-273.776
4541,0.000,200,-61067.00,-278.559
4634,0.000,200,-62347.00,-284.469
4725,0.000,200,-63452.00,-289.570
4817,0.000,200,-64601.00,-294.875
4908,0.000,200,-65698.00,-299.940
5000,0.000,200,-66787.00,-304.968
5091,0.000,200,-67341.00,-307.526
5183,0.000,200,-65762.00,-300.235
5275,0.000,200,-62743.00,-286.297
5367,0.000,200,-59783.00,-272.631
5458,0.000,200,-57046.00,-259.994
5550,0.000,200,-54606.00,-248.729
5641,0.000,200,-52225.00,-237.736
5733,0.000,200,-49856.00,-226.798
5824,0.000,200,-47670.00,-216.705
5917,0.000,200,-45382.00,-206.142
6008,0.000,200,-43283.00,-196.451
6100,0.000,200,-41385.00,-187.688
6191,0.000,200,-39642.00,-179.640
6283,0.000,200,-38116.00,-172.595
6374,0.000,200,-36581.00,-165.508
6467,0.000,200,-35294.00,-159.566
6558,0.000,200,-33958.00,-153.398
6650,0.000,200,-32471.00,-146.532
6741,0.000,200,-30929.00,-139.413
6833,0.000,200,-29447.00,-132.570
6924,0.000,200,-28016.00,-125.964
7016,0.000,200,-26525.00,-119.080
7108,0.000,200,-25139.00,-112.680
7200,0.000,200,-23707.00,-106.069
7291,0.000,200,-22469.00,-100.353
7383,0.000,200,-21386.00,-95.353
7474,0.000,200,-20340.00,-90.524
7566,0.000,200,-19221.00,-85.357
7657,0.000,200,-18074.00,-80.062
7750,0.000,200,-17009.00,-75.145
7841,0.000,200,-15805.00,-69.586
7933,0.000,200,-14690.00,-64.438
8024,0.000,200,-13678.00,-59.765
8116,0.000,200,-12728.00,-55.379
8207,0.000,200,-11753.00,-50.878
8299,0.000,200,-10808.00,-46.515
8391,0.000,200,-10025.00,-42.900
8483,0.000,200,-8997.00,-38.153
8574,0.000,200,-8038.00,-33.726
8666,0.000,200,-7210.00,-29.903
8757,0.000,200,-6382.00,-26.080
8849,0.000,200,-5567.00,-22.317
8940,0.000,200,-4723.00,-18.421
9033,0.000,200,-3953.00,-14.865
9124,0.000,200,-3123.00,-11.033
9216,0.000,200,-2410.00,-7.741
9307,0.000,200,-1740.00,-4.648
9399,0.000,200,-1091.00,-1.652
9490,0.000,200,-495.00,1.100
9583,0.000,200,62.00,3.672
9674,0.000,200,500.00,5.694
9766,0.000,200,762.00,6.904
9857,0.000,200,1095.00,8.441
9949,0.000,200,1096.00,8.446
10040,0.000,200,1148.00,8.686
10132,0.000,200,1170.00,8.787
10224,0.000,200,1142.00,8.658
10316,0.000,200,1130.00,8.603
10407,0.000,200,1086.00,8.399
10499,0.000,200,1076.00,8.353
10590,0.000,200,1121.00,8.561
10682,0.000,200,1074.00,8.344
10773,0.000,200,1129.00,8.598
10866,0.000,200,1125.00,8.579
10957,0.000,200,1134.00,8.621
11049,0.000,200,1126.00,8.584
11140,0.000,200,1155.00,8.718
11232,0.000,200,1147.00,8.681
11323,0.000,200,1103.00,8.478
11415,0.000,200,1082.00,8.381
11507,0.000,200,1092.00,8.427
11599,0.000,200,1098.00,8.455
11690,0.000,200,1118.00,8.547
11782,0.000,200,1132.00,8.612
11873,0.000,200,1116.00,8.538
11965,0.000,200,1072.00,8.335
