ms,pos,steps,strain,g
0,0.000,200,84.00,3.773
2,0.000,200,56.00,3.644
39,0.000,200,-77.00,3.030
131,0.000,200,-1259.00,-2.427
223,0.000,200,-3218.00,-11.472
314,0.000,200,-5282.00,-21.001
406,0.000,200,-7570.00,-31.565
497,0.000,200,-9513.00,-40.536
590,0.000,200,-11442.00,-49.442
681,0.000,200,-13442.00,-58.676
773,0.000,200,-15239.00,-66.973
864,0.000,200,-17121.00,-75.662
956,0.000,200,-19345.00,-85.930
1047,0.000,200,-21440.00,-95.602
1139,0.000,200,-23820.00,-106.591
1232,0.000,200,-25998.00,-116.646
1323,0.000,200,-27855.00,-125.220
1415,0.000,200,-29985.00,-135.054
1506,0.000,200,-32100.00,-144.819
1598,0.000,200,-33835.00,-152.830
1689,0.000,200,-35616.00,-161.052
1782,0.000,200,-37449.00,-169.515
1873,0.000,200,-39363.00,-178.352
1965,0.000,200,-41294.00,-187.268
2056,0.000,200,-42566.00,-193.140
2148,0.000,200,-43378.00,-196.889
2239,0.000,200,-45228.00,-205.431
2331,0.000,200,-47048.00,-213.834
2424,0.000,200,-48734.00,-221.618
2515,0.000,200,-50541.00,-229.961
2607,0.000,200,-51437.00,-234.097
2698,0.000,200,-52289.00,-238.031
2790,0.000,200,-54177.00,-246.748
2881,0.000,200,-56306.00,-256.577
2973,0.000,200,-58548.00,-266.929
3065,0.000,200,-60923.00,-277.894
3157,0.000,200,-63272.00,-288.739
3248,0.000,200,-65861.00,-300.693
3340,0.000,200,-68427.00,-312.540
3431,0.000,200,-70491.00,-322.069
3523,0.000,200,-72696.00,-332.250
3614,0.000,200,-75244.00,-344.014
3707,0.000,200,-77373.00,-353.843
3799,0.000,200,-79471.00,-363.529
3890,0.000,200,-81860.00,-374.559
3982,0.000,200,-84047.00,-384.657
4073,0.000,200,-86297.00,-395.045
4165,0.000,200,-88660.00,-405.955
4257,0.000,200,-90916.00,-416.371
4349,0.000,200,-93416.00,-427.913
4440,0.000,200,-95825.00,-439.035
4532,0.000,200,-97809.00,-448.195
4623,0.000,200,-100179.00,-459.138
4715,0.000,200,-102629.00,-470.449
4806,0.000,200,-104671.00,-479.877
4899,0.000,200,-106866.00,-490.011
4991,0.000,200,-109135.00,-500.487
