ms,pos,steps,strain,g
0,0.000,200,111.00,3.898
2,0.000,200,119.00,3.935
22,0.000,200,-132.00,2.776
113,0.000,200,-4183.00,-15.927
205,0.000,200,-14638.00,-64.198
296,0.000,200,-27027.00,-121.397
388,0.000,200,-40070.00,-181.616
480,0.000,200,-52280.00,-237.990
572,0.000,200,-62958.00,-287.289
663,0.000,200,-72913.00,-333.251
755,0.000,200,-82679.00,-378.341
846,0.000,200,-91217.00,-417.760
938,0.000,200,-95032.00,-435.374
1029,0.000,200,-89181.00,-408.360
1122,0.000,200,-73897.00,-337.794
1213,0.000,200,-56830.00,-258.997
1305,0.000,200,-42004.00,-190.546
1396,0.000,200,-29648.00,-133.498
1488,0.000,200,-19598.00,-87.098
1579,0.000,200,-10448.00,-44.853
1671,0.000,200,-2304.00,-7.252
1763,0.000,200,4496.00,24.143
1855,0.000,200,8015.00,40.390
1946,0.000,200,8400.00,42.168
2038,0.000,200,8139.00,40.963
2129,0.000,200,8030.00,40.460
2221,0.000,200,7949.00,40.086
2312,0.000,200,7846.00,39.610
2405,0.000,200,7681.00,38.848
2496,0.000,200,7590.00,38.428
2588,0.000,200,7478.00,37.911
2679,0.000,200,7380.00,37.459
2771,0.000,200,7289.00,37.038
2862,0.000,200,7246.00,36.840
2955,0.000,200,7135.00,36.327
3046,0.000,200,7002.00,35.713
3138,0.000,200,6971.00,35.570
3229,0.000,200,6993.00,35.672
3321,0.000,200,6969.00,35.561
3412,0.000,200,6884.00,35.169
3504,0.000,200,6890.00,35.196