ms,pos,steps,strain,g
0,0.000,200,-9598.00,-40.928
2,0.000,200,-9528.00,-40.605
87,0.000,200,-9777.00,-41.755
179,0.000,200,-10832.00,-46.626
270,0.000,200,-12281.00,-53.316
362,0.000,200,-13536.00,-59.110
454,0.000,200,-14690.00,-64.438
546,0.000,200,-15708.00,-69.138
637,0.000,200,-16740.00,-73.903
728,0.000,200,-17825.00,-78.912
820,0.000,200,-18852.00,-83.654
911,0.000,200,-19781.00,-87.943
1003,0.000,200,-20893.00,-93.077
1095,0.000,200,-21906.00,-97.754
1187,0.000,200,-22649.00,-101.184
1278,0.000,200,-23611.00,-105.626
1370,0.000,200,-24709.00,-110.695
1461,0.000,200,-25727.00,-115.395
1553,0.000,200,-26876.00,-120.700
1644,0.000,200,-28036.00,-126.056
1737,0.000,200,-29234.00,-131.587
1828,0.000,200,-30533.00,-137.584
1920,0.000,200,-31753.00,-143.217
2011,0.000,200,-33024.00,-149.085
2103,0.000,200,-34469.00,-155.757
2194,0.000,200,-35609.00,-161.020
2287,0.000,200,-36638.00,-165.771
2378,0.000,200,-37937.00,-171.768
2470,0.000,200,-39156.00,-177.396
2561,0.000,200,-40160.00,-182.032
2653,0.000,200,-41309.00,-187.337
2744,0.000,200,-42416.00,-192.448
2836,0.000,200,-43463.00,-197.282
2928,0.000,200,-44456.00,-201.866
3020,0.000,200,-45405.00,-206.248
3111,0.000,200,-46335.00,-210.542
3203,0.000,200,-47217.00,-214.614
3294,0.000,200,-47892.00,-217.730
3386,0.000,200,-48674.00,-221.341
3477,0.000,200,-49733.00,-226.230
3570,0.000,200,-50598.00,-230.224
3661,0.000,200,-51368.00,-233.779
3753,0.000,200,-52246.00,-237.833
3844,0.000,200,-53054.00,-241.563
3936,0.000,200,-53962.00,-245.755
4027,0.000,200,-54906.00,-250.114
4119,0.000,200,-55479.00,-252.759
4211,0.000,200,-56006.00,-255.192
4303,0.000,200,-56895.00,-259.297
4394,0.000,200,-57660.00,-262.829
4486,0.000,200,-58768.00,-267.944
4577,0.000,200,-59919.00,-273.259
4669,0.000,200,-60819.00,-277.414
4761,0.000,200,-61844.00,-282.146
4853,0.000,200,-62901.00,-287.026
4944,0.000,200,-63873.00,-291.514
5036,0.000,200,-65006.00,-296.745
5127,0.000,200,-66096.00,-301.778
5219,0.000,200,-67100.00,-306.413
5310,0.000,200,-68322.00,-312.055
5403,0.000,200,-69306.00,-316.598
5494,0.000,200,-70129.00,-320.398
5586,0.000,200,-71336.00,-325.970
5677,0.000,200,-72383.00,-330.804
5769,0.000,200,-73198.00,-334.567
5860,0.000,200,-74214.00,-339.258
5952,0.000,200,-75135.00,-343.510
6044,0.000,200,-76084.00,-347.892
6136,0.000,200,-77098.00,-352.573
6227,0.000,200,-78034.00,-356.895
6319,0.000,200,-79223.00,-362.384
6410,0.000,200,-80414.00,-367.883
6501,0.000,200,-81131.00,-371.194
6593,0.000,200,-82092.00,-375.630
6685,0.000,200,-83250.00,-380.977
6777,0.000,200,-84042.00,-384.634
6868,0.000,200,-84819.00,-388.221
6960,0.000,200,-85722.00,-392.390
7051,0.000,200,-86538.00,-396.158
7143,0.000,200,-87407.00,-400.170
7235,0.000,200,-88216.00,-403.905
7327,0.000,200,-89024.00,-407.635
7418,0.000,200,-90163.00,-412.894
7510,0.000,200,-91021.00,-416.855
7601,0.000,200,-91566.00,-419.372
7693,0.000,200,-92406.00,-423.250
7784,0.000,200,-93157.00,-426.717
7877,0.000,200,-93645.00,-428.970
