ms,pos,steps,strain,g
0,0.000,200,789.00,7.028
3,0.000,200,646.00,6.368
33,0.000,200,271.00,4.637
125,0.000,200,-519.00,0.989
217,0.000,200,-1426.00,-3.198
309,0.000,200,-2493.00,-8.125
400,0.000,200,-3458.00,-12.580
491,0.000,200,-4413.00,-16.989
583,0.000,200,-5313.00,-21.145
674,0.000,200,-6315.00,-25.771
766,0.000,200,-7377.00,-30.674
858,0.000,200,-8354.00,-35.185
950,0.000,200,-9174.00,-38.971
1041,0.000,200,-9193.00,-39.058
1133,0.000,200,-8355.00,-35.189
1224,0.000,200,-7195.00,-29.834
1316,0.000,200,-5990.00,-24.270
1407,0.000,200,-4803.00,-18.790
1500,0.000,200,-3736.00,-13.864
1591,0.000,200,-2544.00,-8.360
1682,0.000,200,-1491.00,-3.499
1774,0.000,200,-677.00,0.260
1865,0.000,200,51.00,3.621
1957,0.000,200,467.00,5.542
2048,0.000,200,615.00,6.225
2141,0.000,200,572.00,6.026
2232,0.000,200,421.00,5.329
2324,0.000,200,338.00,4.946
2415,0.000,200,356.00,5.029
2507,0.000,200,379.00,5.135
2598,0.000,200,329.00,4.904
2691,0.000,200,306.00,4.798
2782,0.000,200,253.00,4.553
2873,0.000,200,177.00,4.203
2965,0.000,200,175.00,4.193
3056,0.000,200,87.00,3.787
3148,0.000,200,220.00,4.401
3239,0.000,200,399.00,5.228
3332,0.000,200,490.00,5.648
3423,0.000,200,474.00,5.574
3515,0.000,200,343.00,4.969
3606,0.000,200,322.00,4.872
3698,0.000,200,361.00,5.052
3789,0.000,200,137.00,4.018
3880,0.000,200,16.00,3.459
3973,0.000,200,-3.00,3.372
4064,0.000,200,72.00,3.718
4156,0.000,200,162.00,4.133
4247,0.000,200,297.00,4.757
4339,0.000,200,377.00,5.126
4430,0.000,200,353.00,5.015
4522,0.000,200,303.00,4.784
4614,0.000,200,247.00,4.526
4706,0.000,200,200.00,4.309
4797,0.000,200,316.00,4.844
4889,0.000,200,396.00,5.214
4980,0.000,200,594.00,6.128