ms,pos,steps,strain,g
0,0.000,200,193.00,4.276
2,0.000,200,198.00,4.300
55,0.000,200,-781.00,-0.220
147,0.000,200,-7002.00,-28.943
238,0.000,200,-18426.00,-81.687
331,0.000,200,-29596.00,-133.258
422,0.000,200,-38910.00,-176.261
514,0.000,200,-45459.00,-206.497
606,0.000,200,-50038.00,-227.638
697,0.000,200,-57466.00,-261.933
789,0.000,200,-66417.00,-303.260
880,0.000,200,-68554.00,-313.126
973,0.000,200,-56871.00,-259.186
1064,0.000,200,-54439.00,-247.958
1156,0.000,200,-61170.00,-279.034
1247,0.000,200,-70678.00,-322.932
1339,0.000,200,-80376.00,-367.708
1430,0.000,200,-88022.00,-403.009
1523,0.000,200,-95948.00,-439.603
1615,0.000,200,-104206.00,-477.730
1706,0.000,200,-112414.00,-515.626
1798,0.000,200,-121428.00,-557.243
1889,0.000,200,-129985.00,-596.751
1981,0.000,200,-138412.00,-635.658
2072,0.000,200,-148261.00,-681.130
2165,0.000,200,-156419.00,-718.796
2256,0.000,200,-163428.00,-751.156
2348,0.000,200,-172413.00,-792.639
2440,0.000,200,-181094.00,-832.719
2531,0.000,200,-188522.00,-867.014
2623,0.000,200,-196794.00,-905.206
2714,0.000,200,-204759.00,-941.980
2807,0.000,200,-212616.00,-978.255
2898,0.000,200,-221345.00,-1018.557
2990,0.000,200,-229447.00,-1055.963
3081,0.000,200,-238210.00,-1096.422
3173,0.000,200,-247736.00,-1140.403
3264,0.000,200,-254814.00,-1173.082
3356,0.000,200,-261884.00,-1205.724
3449,0.000,200,-270649.00,-1246.192
3540,0.000,200,-278070.00,-1280.454
3632,0.000,200,-285024.00,-1312.560
3723,0.000,200,-292729.00,-1348.134
3815,0.000,200,-299681.00,-1380.231
3906,0.000,200,-306748.00,-1412.859
3999,0.000,200,-314067.00,-1446.651
4090,0.000,200,-320507.00,-1476.384
4182,0.000,200,-328171.00,-1511.769
4273,0.000,200,-335660.00,-1546.345
4365,0.000,200,-340908.00,-1570.575
4457,0.000,200,-347047.00,-1598.918
4548,0.000,200,-353758.00,-1629.903
4641,0.000,200,-358995.00,-1654.082
4732,0.000,200,-364592.00,-1679.923
4824,0.000,200,-370058.00,-1705.159
4915,0.000,200,-375074.00,-1728.318
5007,0.000,200,-381077.00,-1756.034
5098,0.000,200,-386820.00,-1782.549
5190,0.000,200,-392090.00,-1806.880
5282,0.000,200,-398685.00,-1837.329
5374,0.000,200,-403840.00,-1861.130
5466,0.000,200,-407689.00,-1878.901
5557,0.000,200,-412863.00,-1902.789
5649,0.000,200,-417726.00,-1925.241
5740,0.000,200,-421718.00,-1943.672
5833,0.000,200,-426103.00,-1963.917
5924,0.000,200,-430084.00,-1982.297
6016,0.000,200,-434315.00,-2001.832
6107,0.000,200,-439091.00,-2023.882
6199,0.000,200,-443241.00,-2043.043
6291,0.000,200,-447954.00,-2064.802
6382,0.000,200,-453278.00,-2089.383
6475,0.000,200,-456603.00,-2104.735
6566,0.000,200,-459643.00,-2118.770
6658,0.000,200,-463746.00,-2137.714
6749,0.000,200,-467354.00,-2154.372
6841,0.000,200,-470408.00,-2168.472
6932,0.000,200,-473487.00,-2182.687
7024,0.000,200,-476472.00,-2196.469
7117,0.000,200,-479913.00,-2212.356
7208,0.000,200,-482979.00,-2226.512
7300,0.000,200,-485591.00,-2238.571
7391,0.000,200,-489198.00,-2255.225
7483,0.000,200,-492356.00,-2269.805
7574,0.000,200,-493838.00,-2276.647
7667,0.000,200,-496009.00,-2286.671
7758,0.000,200,-498860.00,-2299.834
7850,0.000,200,-500646.00,-2308.080
7941,0.000,200,-502297.00,-2315.702
8033,0.000,200,-504194.00,-2324.461
8125,0.000,200,-505944.00,-2332.540
8216,0.000,200,-507906.00,-2341.599
8309,0.000,200,-509534.00,-2349.115
8400,0.000,200,-509881.00,-2350.717
8492,0.000,200,-505578.00,-2330.851
8583,0.000,200,-497162.00,-2291.994
8675,0.000,200,-486655.00,-2243.484
8766,0.000,200,-476228.00,-2195.343
8858,0.000,200,-466926.00,-2152.396
8950,0.000,200,-457662.00,-2109.624
9042,0.000,200,-449147.00,-2070.311
9134,0.000,200,-441137.00,-2033.329
9225,0.000,200,-431710.00,-1989.805
9317,0.000,200,-422900.00,-1949.129
9408,0.000,200,-415482.00,-1914.880
9500,0.000,200,-406594.00,-1873.845
9592,0.000,200,-397118.00,-1830.095
9684,0.000,200,-388926.00,-1792.272
9775,0.000,200,-380680.00,-1754.201
9867,0.000,200,-372711.00,-1717.408
9959,0.000,200,-365111.00,-1682.319
10050,0.000,200,-357339.00,-1646.436
10143,0.000,200,-350209.00,-1613.517
10234,0.000,200,-342858.00,-1579.578
10326,0.000,200,-334287.00,-1540.006
10417,0.000,200,-326897.00,-1505.887
10509,0.000,200,-319963.00,-1473.873
10600,0.000,200,-311304.00,-1433.894
10692,0.000,200,-302935.00,-1395.255
10785,0.000,200,-295401.00,-1360.471
10876,0.000,200,-287416.00,-1323.604
10968,0.000,200,-280280.00,-1290.658
11059,0.000,200,-273215.00,-1258.039
11151,0.000,200,-265869.00,-1224.123
11242,0.000,200,-259060.00,-1192.686
11334,0.000,200,-251531.00,-1157.924
11426,0.000,200,-243488.00,-1120.790
11518,0.000,200,-236771.00,-1089.778
11609,0.000,200,-229338.00,-1055.460
11701,0.000,200,-220495.00,-1014.632
11793,0.000,200,-212725.00,-978.759
11884,0.000,200,-204947.00,-942.848
11977,0.000,200,-196890.00,-905.649
12068,0.000,200,-189632.00,-872.139
12160,0.000,200,-181912.00,-836.496
12251,0.000,200,-174136.00,-800.594
12343,0.000,200,-167144.00,-768.313
12434,0.000,200,-158905.00,-730.273
12526,0.000,200,-150788.00,-692.798
12618,0.000,200,-144022.00,-661.559
12710,0.000,200,-135684.00,-623.063
12802,0.000,200,-126685.00,-581.515
12893,0.000,200,-119143.00,-546.694
12985,0.000,200,-111028.00,-509.227
13076,0.000,200,-103348.00,-473.769
13168,0.000,200,-96208.00,-440.804
13260,0.000,200,-88221.00,-403.928
13352,0.000,200,-80962.00,-370.413
13443,0.000,200,-73988.00,-338.215
13535,0.000,200,-65678.00,-299.848
13626,0.000,200,-58485.00,-266.638
13718,0.000,200,-52090.00,-237.112
13811,0.000,200,-44246.00,-200.897
13902,0.000,200,-36690.00,-166.011
13994,0.000,200,-30138.00,-135.761
14085,0.000,200,-23826.00,-106.618
14177,0.000,200,-19072.00,-84.669
14268,0.000,200,-15515.00,-68.247
14360,0.000,200,-14052.00,-61.492
14452,0.000,200,-15572.00,-68.510
14544,0.000,200,-11672.00,-50.504
14635,0.000,200,-5875.00,-23.739
14727,0.000,200,-3084.00,-10.853
14818,0.000,200,-3549.00,-13.000
14910,0.000,200,-5252.00,-20.863
15002,0.000,200,-3489.00,-12.723
15094,0.000,200,-731.00,0.010
15186,0.000,200,1905.00,12.181
15277,0.000,200,4017.00,21.932
15369,0.000,200,5077.00,26.826
15460,0.000,200,5476.00,28.668
15552,0.000,200,5646.00,29.453
15643,0.000,200,5607.00,29.273
15736,0.000,200,5562.00,29.065
15827,0.000,200,5611.00,29.291
15919,0.000,200,5660.00,29.517
16011,0.000,200,5671.00,29.568
16102,0.000,200,5646.00,29.453
16194,0.000,200,5692.00,29.665
16286,0.000,200,5684.00,29.628
16378,0.000,200,5690.00,29.656
16469,0.000,200,5697.00,29.688
16561,0.000,200,5684.00,29.628
16652,0.000,200,5651.00,29.476
16744,0.000,200,5763.00,29.993
16835,0.000,200,5756.00,29.961
16928,0.000,200,5734.00,29.859
17020,0.000,200,5714.00,29.767
17111,0.000,200,5735.00,29.864
17203,0.000,200,5757.00,29.965
17294,0.000,200,5796.00,30.145
