MTrackJ,1.5.1,Data,,,,
Displaying,TRUE,TRUE,,,,
Assembly,1,FF0000,,,,
Cluster,1,FF0000,,,,
Track,1,FF0000,TRUE,,,
Point,1,830,544,1,8,1
Point,2,830,544,1,9,1
Point,3,828,546,1,10,1
Point,4,828,546,1,11,1
Point,5,824,548,1,12,1
Point,6,830,548,1,13,1
Point,7,830,548,1,14,1
Point,8,824,548,1,15,1
Point,9,826,548,1,16,1
Point,10,826,548,1,17,1
Point,11,826,548,1,18,1
Point,12,826,548,1,19,1
Point,13,826,548,1,20,1
Point,14,826,548,1,21,1
Point,15,822,548,1,22,1
Point,16,822,548,1,23,1
Point,17,822,548,1,24,1
Point,18,820,548,1,25,1
Point,19,820,548,1,26,1
Point,20,820,548,1,27,1
Point,21,820,548,1,28,1
Point,22,820,548,1,29,1
Point,23,820,548,1,30,1
Point,24,820,548,1,31,1
Point,25,820,548,1,32,1
Point,26,820,548,1,33,1
Point,27,820,550,1,34,1
Point,28,820,544,1,35,1
Point,29,820,544,1,36,1
Point,30,822,542,1,37,1
Point,31,822,542,1,38,1
Point,32,822,542,1,39,1
Point,33,826,544,1,40,1
Point,34,826,544,1,41,1
Point,35,830,542,1,42,1
Point,36,830,542,1,43,1
Point,37,826,540,1,44,1
Point,38,822,548,1,45,1
Point,39,820,542,1,46,1
Point,40,820,542,1,47,1
Point,41,824,536,1,48,1
Point,42,824,534,1,49,1
Point,43,828,530,1,50,1
Point,44,824,526,1,51,1
Point,45,820,524,1,52,1
Point,46,820,530,1,53,1
Point,47,818,530,1,54,1
Point,48,818,530,1,55,1
Point,49,818,530,1,56,1
Point,50,818,530,1,57,1
Point,51,818,530,1,58,1
Point,52,818,528,1,59,1
Point,53,816,526,1,60,1
Point,54,816,526,1,61,1
Point,55,816,526,1,62,1
Point,56,816,526,1,63,1
Point,57,816,526,1,64,1
Point,58,816,526,1,65,1
Point,59,816,526,1,66,1
Point,60,816,526,1,67,1
Point,61,822,528,1,68,1
